22
l_orderkey|l_partkey|l_suppkey|l_linenumber|l_quantity|l_extendedprice|l_discount|l_tax|l_returnflag|l_linestatus|l_shipdate|l_commitdate|l_receiptdate|l_shipinstruct|l_shipmode|l_comment|q3_annot|q10_annot|q18_annot|q8_annot|q9_annot1|q9_annot2|
32|594|21|2|32.00|47826.88|0.02|0.00|N|O|1995-08-14|1995-10-07|1995-08-27|COLLECT COD|AIR|lithely regular deposits. fluffily |46870|0|0|46870|46870|32|
32|133|25|3|2.00|2066.26|0.09|0.02|N|O|1995-08-07|1995-10-07|1995-08-23|DELIVER IN PERSON|AIR| express accounts wake according to the|1880|0|0|1880|1880|2|
32|9|24|4|4.00|3636.00|0.09|0.03|N|O|1995-08-04|1995-10-01|1995-09-03|NONE|REG AIR|e slyly final pac|3309|0|0|3309|3309|4|
32|258|4|5|44.00|50963.00|0.05|0.06|N|O|1995-08-28|1995-08-20|1995-09-14|DELIVER IN PERSON|AIR|symptotes nag according to the ironic depo|48415|0|0|48415|48415|44|
32|35|14|6|6.00|5610.18|0.04|0.03|N|O|1995-07-21|1995-09-23|1995-07-25|COLLECT COD|RAIL| gifts cajole carefully.|5386|0|0|5386|5386|6|
33|185|15|1|31.00|33640.58|0.09|0.04|A|F|1993-10-29|1993-12-19|1993-11-08|COLLECT COD|TRUCK|ng to the furiously ironic package|0|0|0|30613|30613|31|
33|182|29|2|32.00|34629.76|0.02|0.05|A|F|1993-12-09|1994-01-04|1993-12-28|COLLECT COD|MAIL|gular theodolites|0|0|0|33937|33937|32|
33|413|14|3|5.00|6567.05|0.05|0.03|A|F|1993-12-09|1993-12-25|1993-12-23|TAKE BACK RETURN|AIR|. stealthily bold exc|0|0|0|6239|6239|5|
33|102|13|4|41.00|41086.10|0.09|0.00|R|F|1993-11-09|1994-01-24|1993-11-11|TAKE BACK RETURN|MAIL|unusual packages doubt caref|0|37388|0|37388|37388|41|
34|266|12|1|13.00|15161.38|0.00|0.07|N|O|1998-10-23|1998-09-14|1998-11-06|NONE|REG AIR|nic accounts. deposits are alon|15161|0|0|15161|15161|13|
34|269|15|2|22.00|25723.72|0.08|0.06|N|O|1998-10-09|1998-10-16|1998-10-12|NONE|FOB|thely slyly p|23666|0|0|23666|23666|22|
34|509|16|3|6.00|8457.00|0.02|0.06|N|O|1998-10-30|1998-09-20|1998-11-05|NONE|FOB|ar foxes sleep |8288|0|0|8288|8288|6|
35|2|10|1|24.00|21648.00|0.02|0.00|N|O|1996-02-21|1996-01-03|1996-03-18|TAKE BACK RETURN|FOB|, regular tithe|21215|0|0|21215|21215|24|
35|486|30|2|34.00|47140.32|0.06|0.08|N|O|1996-01-22|1996-01-06|1996-01-27|DELIVER IN PERSON|RAIL|s are carefully against the f|44312|0|0|44312|44312|34|
35|363|1|3|7.00|8843.52|0.06|0.04|N|O|1996-01-19|1995-12-22|1996-01-29|NONE|MAIL| the carefully regular |8313|0|0|8313|8313|7|
35|256|2|4|25.00|28906.25|0.06|0.05|N|O|1995-11-26|1995-12-25|1995-12-21|DELIVER IN PERSON|SHIP| quickly unti|27172|0|0|27172|27172|25|
35|360|7|5|34.00|42852.24|0.08|0.06|N|O|1995-11-08|1996-01-15|1995-11-26|COLLECT COD|MAIL|. silent, unusual deposits boost|39424|0|0|39424|39424|34|
35|93|14|6|28.00|27806.52|0.03|0.02|N|O|1996-02-01|1995-12-24|1996-02-28|COLLECT COD|RAIL|ly alongside of |26972|0|0|26972|26972|28|
36|360|1|1|42.00|52935.12|0.09|0.00|N|O|1996-02-03|1996-01-21|1996-02-23|COLLECT COD|SHIP| careful courts. special |48171|0|0|48171|48171|42|
37|68|18|1|40.00|38722.40|0.09|0.03|A|F|1992-07-21|1992-08-01|1992-08-15|NONE|REG AIR|luffily regular requests. slyly final acco|0|0|0|35237|35237|40|
37|381|30|2|39.00|49973.82|0.05|0.02|A|F|1992-07-02|1992-08-18|1992-07-28|TAKE BACK RETURN|RAIL|the final requests. ca|0|0|0|47475|47475|39|
37|39|18|3|43.00|40378.29|0.05|0.08|A|F|1992-07-10|1992-07-06|1992-08-02|DELIVER IN PERSON|TRUCK|iously ste|0|0|0|38359|38359|43|
38|528|7|1|44.00|62854.88|0.04|0.02|N|O|1996-09-29|1996-11-17|1996-09-30|COLLECT COD|MAIL|s. blithely unusual theodolites am|60341|0|0|60341|60341|44|
39|7|29|1|44.00|39908.00|0.09|0.06|N|O|1996-11-14|1996-12-15|1996-12-12|COLLECT COD|RAIL|eodolites. careful|36316|0|0|36316|36316|44|
39|560|6|2|26.00|37974.56|0.08|0.04|N|O|1996-11-04|1996-10-20|1996-11-20|NONE|FOB|ckages across the slyly silent|34937|0|0|34937|34937|26|
39|204|4|3|46.00|50793.20|0.06|0.08|N|O|1996-09-26|1996-12-19|1996-10-26|DELIVER IN PERSON|AIR|he carefully e|47746|0|0|47746|47746|46|
39|62|12|4|32.00|30785.92|0.07|0.05|N|O|1996-10-02|1996-12-19|1996-10-14|COLLECT COD|MAIL|heodolites sleep silently pending foxes. ac|28631|0|0|28631|28631|32|
39|164|9|5|43.00|45758.88|0.01|0.01|N|O|1996-10-17|1996-11-14|1996-10-26|COLLECT COD|MAIL|yly regular i|45301|0|0|45301|45301|43|
39|284|1|6|40.00|47371.20|0.06|0.05|N|O|1996-12-08|1996-10-22|1997-01-01|COLLECT COD|AIR|quickly ironic fox|44529|0|0|44529|44529|40|
64|258|19|1|21.00|24323.25|0.05|0.02|R|F|1994-09-30|1994-09-18|1994-10-26|DELIVER IN PERSON|REG AIR|ch slyly final, thin platelets.|0|23107|0|23107|23107|21|
65|180|25|1|26.00|28084.68|0.03|0.03|A|F|1995-04-20|1995-04-25|1995-05-13|NONE|TRUCK|pending deposits nag even packages. ca|27242|0|0|27242|27242|26|
65|222|11|2|22.00|24688.84|0.00|0.05|N|O|1995-07-17|1995-06-04|1995-07-19|COLLECT COD|FOB| ideas. special, r|24689|0|0|24689|24689|22|
65|5|13|3|21.00|19005.00|0.09|0.07|N|O|1995-07-06|1995-05-14|1995-07-31|DELIVER IN PERSON|RAIL|bove the even packages. accounts nag carefu|17295|0|0|17295|17295|21|
66|346|5|1|31.00|38636.54|0.00|0.08|R|F|1994-02-19|1994-03-11|1994-02-20|TAKE BACK RETURN|RAIL|ut the unusual accounts sleep at the bo|0|38637|0|38637|38637|31|
66|521|12|2|41.00|58282.32|0.04|0.07|A|F|1994-02-21|1994-03-01|1994-03-18|COLLECT COD|AIR| regular de|0|0|0|55951|55951|41|
67|65|3|1|4.00|3860.24|0.09|0.04|N|O|1997-04-17|1997-01-31|1997-04-20|NONE|SHIP| cajole thinly expres|3513|0|0|3513|3513|4|
67|61|20|2|12.00|11532.72|0.09|0.05|N|O|1997-01-27|1997-02-21|1997-02-22|NONE|REG AIR| even packages cajole|10495|0|0|10495|10495|12|
67|521|6|3|5.00|7107.60|0.03|0.07|N|O|1997-02-20|1997-02-12|1997-02-21|DELIVER IN PERSON|TRUCK|y unusual packages thrash pinto |6894|0|0|6894|6894|5|
67|263|24|4|44.00|51183.44|0.08|0.06|N|O|1997-03-18|1997-01-29|1997-04-13|DELIVER IN PERSON|RAIL|se quickly above the even, express reques|47089|0|0|47089|47089|44|
67|122|6|5|23.00|23508.76|0.05|0.07|N|O|1997-04-19|1997-02-14|1997-05-06|DELIVER IN PERSON|REG AIR|ly regular deposit|22333|0|0|22333|22333|23|
67|535|20|6|29.00|41630.37|0.02|0.05|N|O|1997-01-25|1997-01-27|1997-01-27|DELIVER IN PERSON|FOB|ultipliers |40798|0|0|40798|40798|29|
68|22|30|1|3.00|2766.06|0.05|0.02|N|O|1998-07-04|1998-06-05|1998-07-21|NONE|RAIL|fully special instructions cajole. furious|2628|0|0|2628|2628|3|
68|526|29|2|46.00|65619.92|0.02|0.05|N|O|1998-06-26|1998-06-07|1998-07-05|NONE|MAIL| requests are unusual, regular pinto |64308|0|0|64308|64308|46|
68|105|26|3|46.00|46234.60|0.04|0.05|N|O|1998-08-13|1998-07-08|1998-08-29|NONE|RAIL|egular dependencies affix ironically along |44385|0|0|44385|44385|46|
68|285|4|4|20.00|23705.60|0.07|0.01|N|O|1998-06-27|1998-05-23|1998-07-02|NONE|REG AIR| excuses integrate fluffily |22046|0|0|22046|22046|20|
68|249|25|5|27.00|31029.48|0.03|0.06|N|O|1998-06-19|1998-06-25|1998-06-29|DELIVER IN PERSON|SHIP|ccounts. deposits use. furiously|30099|0|0|30099|30099|27|
68|308|26|6|30.00|36249.00|0.05|0.06|N|O|1998-08-11|1998-07-11|1998-08-14|NONE|RAIL|oxes are slyly blithely fin|34437|0|0|34437|34437|30|
68|418|19|7|41.00|54054.81|0.09|0.08|N|O|1998-06-24|1998-06-27|1998-07-06|NONE|SHIP|eposits nag special ideas. furiousl|49190|0|0|49190|49190|41|
69|346|5|1|48.00|59824.32|0.01|0.07|A|F|1994-08-17|1994-08-11|1994-09-08|NONE|TRUCK|regular epitaphs. carefully even ideas hag|0|0|0|59226|59226|48|
69|313|18|2|32.00|38825.92|0.08|0.06|A|F|1994-08-24|1994-08-17|1994-08-31|NONE|REG AIR|s sleep carefully bold, |0|0|0|35720|35720|32|
69|412|23|3|17.00|22310.97|0.09|0.00|A|F|1994-07-02|1994-07-07|1994-07-03|TAKE BACK RETURN|AIR|final, pending instr|0|0|0|20303|20303|17|
69|113|14|4|3.00|3039.33|0.09|0.04|R|F|1994-06-06|1994-07-27|1994-06-15|NONE|MAIL| blithely final d|0|2766|0|2766|2766|3|
69|277|10|5|42.00|49445.34|0.07|0.04|R|F|1994-07-31|1994-07-26|1994-08-28|DELIVER IN PERSON|REG AIR|tect regular, speci|0|45984|0|45984|45984|42|
69|56|5|6|23.00|21989.15|0.05|0.00|A|F|1994-10-03|1994-08-06|1994-10-24|NONE|SHIP|nding accounts ca|0|0|0|20890|20890|23|
70|193|10|1|8.00|8745.52|0.03|0.08|R|F|1994-01-12|1994-02-27|1994-01-14|TAKE BACK RETURN|FOB|ggle. carefully pending dependenc|0|8483|0|8483|8483|8|
70|589|12|2|13.00|19364.54|0.06|0.06|A|F|1994-03-03|1994-02-13|1994-03-26|COLLECT COD|AIR|lyly special packag|0|0|0|18203|18203|13|
70|540|13|3|1.00|1440.54|0.03|0.05|R|F|1994-01-26|1994-03-05|1994-01-28|TAKE BACK RETURN|RAIL|quickly. fluffily unusual theodolites c|0|1397|0|1397|1397|1|
70|138|11|4|11.00|11419.43|0.01|0.05|A|F|1994-03-17|1994-03-17|1994-03-27|NONE|MAIL|alongside of the deposits. fur|0|0|0|11305|11305|11|
70|112|13|5|37.00|37448.07|0.09|0.04|R|F|1994-02-13|1994-03-16|1994-02-21|COLLECT COD|MAIL|n accounts are. q|0|34078|0|34078|34078|37|
70|167|24|6|19.00|20276.04|0.06|0.03|A|F|1994-01-26|1994-02-17|1994-02-06|TAKE BACK RETURN|SHIP| packages wake pending accounts.|0|0|0|19059|19059|19|
71|186|7|1|25.00|27154.50|0.09|0.07|N|O|1998-04-10|1998-04-22|1998-04-11|COLLECT COD|FOB|ckly. slyly|24711|0|0|24711|24711|25|
71|198|28|2|3.00|3294.57|0.09|0.07|N|O|1998-05-23|1998-04-03|1998-06-02|COLLECT COD|SHIP|y. pinto beans haggle after the|2998|0|0|2998|2998|3|
71|104|15|3|45.00|45184.50|0.00|0.07|N|O|1998-02-23|1998-03-20|1998-03-24|DELIVER IN PERSON|SHIP| ironic packages believe blithely a|45185|0|0|45185|45185|45|
71|290|7|4|33.00|39279.57|0.00|0.01|N|O|1998-04-12|1998-03-20|1998-04-15|NONE|FOB| serve quickly fluffily bold deposi|39280|0|0|39280|39280|33|
71|310|28|5|39.00|47202.09|0.08|0.06|N|O|1998-01-29|1998-04-07|1998-02-18|DELIVER IN PERSON|RAIL|l accounts sleep across the pack|43426|0|0|43426|43426|39|
71|587|10|6|34.00|50577.72|0.04|0.01|N|O|1998-03-05|1998-04-22|1998-03-30|DELIVER IN PERSON|TRUCK|s cajole. |48555|0|0|48555|48555|34|
96|370|8|1|23.00|29218.51|0.10|0.06|A|F|1994-07-19|1994-06-29|1994-07-25|DELIVER IN PERSON|TRUCK|ep-- carefully reg|0|0|0|26297|26297|23|
96|407|18|2|30.00|39222.00|0.01|0.06|R|F|1994-06-03|1994-05-29|1994-06-22|DELIVER IN PERSON|TRUCK|e quickly even ideas. furiou|0|38830|0|38830|38830|30|
97|359|18|1|13.00|16371.55|0.00|0.02|R|F|1993-04-01|1993-04-04|1993-04-08|NONE|TRUCK|ayers cajole against the furiously|0|16372|0|16372|16372|13|
97|149|11|2|37.00|38818.18|0.02|0.06|A|F|1993-04-13|1993-03-30|1993-04-14|DELIVER IN PERSON|SHIP|ic requests boost carefully quic|0|0|0|38042|38042|37|
97|234|7|3|19.00|21550.37|0.06|0.08|R|F|1993-05-14|1993-03-05|1993-05-25|TAKE BACK RETURN|RAIL|gifts. furiously ironic packages cajole. |0|20257|0|20257|20257|19|
98|121|2|1|28.00|28591.36|0.06|0.07|A|F|1994-12-24|1994-10-25|1995-01-16|COLLECT COD|REG AIR| pending, regular accounts s|0|0|0|26876|26876|28|
98|330|22|2|1.00|1230.33|0.00|0.00|A|F|1994-12-01|1994-12-12|1994-12-15|DELIVER IN PERSON|TRUCK|. unusual instructions against|0|0|0|1230|1230|1|
98|135|16|3|14.00|14491.82|0.05|0.02|A|F|1994-12-30|1994-11-22|1995-01-27|COLLECT COD|AIR| cajole furiously. blithely ironic ideas |0|0|0|13767|13767|14|
98|502|23|4|10.00|14025.00|0.03|0.03|A|F|1994-10-23|1994-11-08|1994-11-09|COLLECT COD|RAIL| carefully. quickly ironic ideas|0|0|0|13604|13604|10|
99|262|8|1|10.00|11622.60|0.02|0.01|A|F|1994-05-18|1994-06-03|1994-05-23|COLLECT COD|RAIL|kages. requ|0|0|0|11390|11390|10|
99|372|13|2|5.00|6361.85|0.02|0.07|R|F|1994-05-06|1994-05-28|1994-05-20|TAKE BACK RETURN|RAIL|ests cajole fluffily waters. blithe|0|6235|0|6235|6235|5|
99|403|14|3|42.00|54742.80|0.02|0.02|A|F|1994-04-19|1994-05-18|1994-04-20|NONE|RAIL|kages are fluffily furiously ir|0|0|0|53648|53648|42|
99|326|14|4|36.00|44147.52|0.09|0.02|A|F|1994-07-04|1994-04-17|1994-07-30|DELIVER IN PERSON|AIR|slyly. slyly e|0|0|0|40174|40174|36|
100|187|8|1|28.00|30441.04|0.04|0.05|N|O|1998-05-08|1998-05-13|1998-06-07|COLLECT COD|TRUCK|sts haggle. slowl|29223|0|0|29223|29223|28|
100|348|7|2|22.00|27463.48|0.00|0.07|N|O|1998-06-24|1998-04-12|1998-06-29|DELIVER IN PERSON|SHIP|nto beans alongside of the fi|27463|0|0|27463|27463|22|
100|139|1|3|46.00|47799.98|0.03|0.04|N|O|1998-05-02|1998-04-10|1998-05-22|TAKE BACK RETURN|SHIP|ular accounts. even|46366|0|0|46366|46366|46|
100|115|16|4|14.00|14211.54|0.06|0.03|N|O|1998-05-22|1998-05-01|1998-06-03|COLLECT COD|MAIL|y. furiously ironic ideas gr|13359|0|0|13359|13359|14|
100|161|18|5|37.00|39262.92|0.05|0.00|N|O|1998-03-06|1998-04-16|1998-03-31|TAKE BACK RETURN|TRUCK|nd the quickly s|37300|0|0|37300|37300|37|
101|355|20|1|49.00|61512.15|0.10|0.00|N|O|1996-06-21|1996-05-27|1996-06-29|DELIVER IN PERSON|REG AIR|ts-- final packages sleep furiousl|55361|0|0|55361|55361|49|
101|490|20|2|36.00|50057.64|0.00|0.01|N|O|1996-05-19|1996-05-01|1996-06-04|DELIVER IN PERSON|AIR|tes. blithely pending dolphins x-ray f|50058|0|0|50058|50058|36|
101|416|27|3|12.00|15796.92|0.06|0.02|N|O|1996-03-29|1996-04-20|1996-04-12|COLLECT COD|MAIL|. quickly regular|14849|0|0|14849|14849|12|
102|267|28|1|37.00|43188.62|0.06|0.00|N|O|1997-07-24|1997-08-02|1997-08-07|TAKE BACK RETURN|SHIP|ully across the ideas. final deposit|40597|0|0|40597|40597|37|
102|508|8|2|34.00|47889.00|0.03|0.08|N|O|1997-08-09|1997-07-28|1997-08-26|TAKE BACK RETURN|SHIP|eposits cajole across|46452|0|0|46452|46452|34|
102|547|3|3|25.00|36188.50|0.01|0.01|N|O|1997-07-31|1997-07-24|1997-08-17|NONE|RAIL|bits. ironic accoun|35827|0|0|35827|35827|25|
102|184|14|4|15.00|16262.70|0.07|0.07|N|O|1997-06-02|1997-07-13|1997-06-04|DELIVER IN PERSON|SHIP|final packages. carefully even excu|15124|0|0|15124|15124|15|
103|584|3|1|6.00|8907.48|0.03|0.05|N|O|1996-10-11|1996-07-25|1996-10-28|NONE|FOB|cajole. carefully ex|8640|0|0|8640|8640|6|
103|32|11|2|37.00|34485.11|0.02|0.07|N|O|1996-09-17|1996-07-27|1996-09-20|TAKE BACK RETURN|MAIL|ies. quickly ironic requests use blithely|33795|0|0|33795|33795|37|
103|86|27|3|23.00|22679.84|0.01|0.04|N|O|1996-09-11|1996-09-18|1996-09-26|NONE|FOB|ironic accou|22453|0|0|22453|22453|23|
103|88|17|4|32.00|31618.56|0.01|0.07|N|O|1996-07-30|1996-08-06|1996-08-04|NONE|RAIL|kages doze. special, regular deposit|31302|0|0|31302|31302|32|
128|321|9|1|38.00|46410.16|0.06|0.01|A|F|1992-09-01|1992-08-27|1992-10-01|TAKE BACK RETURN|FOB| cajole careful|0|0|0|43626|43626|38|
129|9|17|1|46.00|41814.00|0.08|0.02|R|F|1993-02-15|1993-01-24|1993-03-05|COLLECT COD|TRUCK|uietly bold theodolites. fluffil|0|38469|0|38469|38469|46|
129|556|17|2|36.00|52435.80|0.01|0.02|A|F|1992-11-25|1992-12-25|1992-12-09|TAKE BACK RETURN|REG AIR|packages are care|0|0|0|51911|51911|36|
129|119|10|3|33.00|33630.63|0.04|0.06|A|F|1993-01-08|1993-02-14|1993-01-29|COLLECT COD|SHIP|sts nag bravely. fluffily|0|0|0|32285|32285|33|
129|406|27|4|34.00|44417.60|0.00|0.01|R|F|1993-01-29|1993-02-14|1993-02-10|COLLECT COD|MAIL|quests. express ideas|0|44418|0|44418|44418|34|
129|95|6|5|24.00|23882.16|0.06|0.00|A|F|1992-12-07|1993-01-02|1992-12-11|TAKE BACK RETURN|FOB|uests. foxes cajole slyly after the ca|0|0|0|22449|22449|24|
129|232|5|6|22.00|24909.06|0.06|0.01|R|F|1993-02-15|1993-01-31|1993-02-24|COLLECT COD|SHIP|e. fluffily regular |0|23415|0|23415|23415|22|
129|506|13|7|1.00|1406.50|0.05|0.04|R|F|1993-01-26|1993-01-08|1993-02-24|DELIVER IN PERSON|FOB|e carefully blithely bold dolp|0|1336|0|1336|1336|1|
130|387|28|1|14.00|18023.32|0.08|0.05|A|F|1992-08-15|1992-07-25|1992-09-13|COLLECT COD|RAIL| requests. final instruction|0|0|0|16581|16581|14|
130|6|14|2|48.00|43488.00|0.03|0.02|R|F|1992-07-01|1992-07-12|1992-07-24|NONE|AIR|lithely alongside of the regu|0|42183|0|42183|42183|48|
130|36|7|3|18.00|16848.54|0.04|0.08|A|F|1992-07-04|1992-06-14|1992-07-29|DELIVER IN PERSON|MAIL| slyly ironic decoys abou|0|0|0|16175|16175|18|
130|347|12|4|13.00|16215.42|0.09|0.02|R|F|1992-06-26|1992-07-29|1992-07-05|NONE|FOB| pending dolphins sleep furious|0|14756|0|14756|14756|13|
130|208|25|5|31.00|34354.20|0.06|0.05|R|F|1992-09-01|1992-07-18|1992-09-02|TAKE BACK RETURN|RAIL|thily about the ruth|0|32293|0|32293|32293|31|
131|503|17|1|45.00|63157.50|0.10|0.02|R|F|1994-09-14|1994-09-02|1994-10-04|NONE|FOB|ironic, bold accounts. careful|0|56842|0|56842|56842|45|
131|133|6|2|50.00|51656.50|0.02|0.04|A|F|1994-09-17|1994-08-10|1994-09-21|NONE|SHIP|ending requests. final, ironic pearls slee|0|0|0|50623|50623|50|
131|568|24|3|4.00|5874.24|0.04|0.03|A|F|1994-09-20|1994-08-30|1994-09-23|COLLECT COD|REG AIR| are carefully slyly i|0|0|0|5639|5639|4|
132|422|24|1|18.00|23803.56|0.00|0.08|R|F|1993-07-10|1993-08-05|1993-07-13|NONE|TRUCK|ges. platelets wake furio|0|23804|0|23804|23804|18|
132|358|29|2|43.00|54109.05|0.01|0.08|R|F|1993-09-01|1993-08-16|1993-09-22|NONE|TRUCK|y pending theodolites|0|53568|0|53568|53568|43|
132|344|15|3|32.00|39818.88|0.04|0.04|A|F|1993-07-12|1993-08-05|1993-08-05|COLLECT COD|TRUCK|d instructions hagg|0|0|0|38226|38226|32|
132|85|23|4|23.00|22656.84|0.10|0.00|A|F|1993-06-16|1993-08-27|1993-06-23|DELIVER IN PERSON|AIR|refully blithely bold acco|0|0|0|20391|20391|23|
133|311|29|1|27.00|32705.37|0.00|0.02|N|O|1997-12-21|1998-02-23|1997-12-27|TAKE BACK RETURN|MAIL|yly even gifts after the sl|32705|0|0|32705|32705|27|
133|529|2|2|12.00|17154.24|0.02|0.06|N|O|1997-12-02|1998-01-15|1997-12-29|DELIVER IN PERSON|REG AIR|ts cajole fluffily quickly i|16811|0|0|16811|16811|12|
133|353|18|3|29.00|36347.15|0.09|0.08|N|O|1998-02-28|1998-01-30|1998-03-09|DELIVER IN PERSON|RAIL| the carefully regular theodoli|33076|0|0|33076|33076|29|
133|270|16|4|11.00|12872.97|0.06|0.01|N|O|1998-03-21|1998-01-15|1998-04-04|DELIVER IN PERSON|REG AIR|e quickly across the dolphins|12101|0|0|12101|12101|11|
134|2|3|1|21.00|18942.00|0.00|0.03|A|F|1992-07-17|1992-07-08|1992-07-26|COLLECT COD|SHIP|s. quickly regular|0|0|0|18942|18942|21|
134|494|1|2|35.00|48807.15|0.06|0.07|A|F|1992-08-23|1992-06-01|1992-08-24|NONE|MAIL|ajole furiously. instructio|0|0|0|45879|45879|35|
134|565|16|3|26.00|38104.56|0.09|0.06|A|F|1992-06-20|1992-07-12|1992-07-16|NONE|RAIL| among the pending depos|0|0|0|34675|34675|26|
134|433|14|4|47.00|62671.21|0.05|0.00|A|F|1992-08-16|1992-07-06|1992-08-28|NONE|REG AIR|s! carefully unusual requests boost careful|0|0|0|59538|59538|47|
134|106|17|5|12.00|12073.20|0.05|0.02|A|F|1992-07-03|1992-06-01|1992-07-11|COLLECT COD|TRUCK|nts are quic|0|0|0|11470|11470|12|
134|400|1|6|12.00|15604.80|0.00|0.00|A|F|1992-08-08|1992-07-07|1992-08-20|TAKE BACK RETURN|FOB|lyly regular pac|0|0|0|15605|15605|12|
135|325|26|1|47.00|57590.04|0.06|0.08|N|O|1996-02-18|1996-01-01|1996-02-25|COLLECT COD|RAIL|ctions wake slyly abo|54135|0|0|54135|54135|47|
