15
o_orderkey|o_custkey|o_orderstatus|o_totalprice|o_orderdate|o_orderpriority|o_clerk|o_shippriority|o_comment|o_year|q3_annot|q10_annot|q18_annot|q8_annot|q9_annot|
128|223|F|44061.80|1992-06-15|1-URGENT|Clerk#000000385|0|ns integrate fluffily. ironic asymptotes after the regular excuses nag around |1992|1|0|1|0|1|
129|214|F|218759.69|1992-11-19|5-LOW|Clerk#000000859|0|ing tithes. carefully pending deposits boost about the silently express |1992|1|0|1|0|1|
130|112|F|126864.82|1992-05-08|2-HIGH|Clerk#000000036|0|le slyly unusual, regular packages? express deposits det|1992|1|0|1|0|1|
131|280|F|116435.32|1994-06-08|3-MEDIUM|Clerk#000000625|0|after the fluffily special foxes integrate s|1994|1|0|1|0|1|
132|80|F|143707.53|1993-06-11|3-MEDIUM|Clerk#000000488|0|sits are daringly accounts. carefully regular foxes sleep slyly about the|1993|1|0|1|0|1|
133|133|O|99122.84|1997-11-29|1-URGENT|Clerk#000000738|0|usly final asymptotes |1997|0|0|1|0|1|
134|19|F|192197.50|1992-05-01|4-NOT SPECIFIED|Clerk#000000711|0|lar theodolites boos|1992|1|0|1|0|1|
135|182|O|217154.66|1995-10-21|4-NOT SPECIFIED|Clerk#000000804|0|l platelets use according t|1995|0|0|1|1|1|
160|248|O|92469.79|1996-12-19|4-NOT SPECIFIED|Clerk#000000342|0|thely special sauternes wake slyly of t|1996|0|0|1|1|1|
161|50|F|22974.39|1994-08-31|2-HIGH|Clerk#000000322|0|carefully! special instructions sin|1994|1|0|1|0|1|
162|43|O|2907.15|1995-05-08|3-MEDIUM|Clerk#000000378|0|nts hinder fluffily ironic instructions. express, express excuses |1995|0|0|1|1|1|
163|265|O|157557.97|1997-09-05|3-MEDIUM|Clerk#000000379|0|y final packages. final foxes since the quickly even|1997|0|0|1|0|1|
164|4|F|236623.72|1992-10-21|5-LOW|Clerk#000000209|0|cajole ironic courts. slyly final ideas are slyly. blithely final Tiresias sub|1992|1|0|1|0|1|
165|82|F|179378.84|1993-01-30|4-NOT SPECIFIED|Clerk#000000292|0|across the blithely regular accounts. bold|1993|1|0|1|0|1|
166|325|O|110510.44|1995-09-12|2-HIGH|Clerk#000000440|0|lets. ironic, bold asymptotes kindle|1995|0|0|1|1|1|
167|359|F|66793.22|1993-01-04|4-NOT SPECIFIED|Clerk#000000731|0|s nag furiously bold excuses. fluffily iron|1993|1|0|1|0|1|
192|248|O|164864.25|1997-11-25|5-LOW|Clerk#000000483|0|y unusual platelets among the final instructions integrate rut|1997|0|0|1|0|1|
193|238|F|58835.30|1993-08-08|1-URGENT|Clerk#000000025|0|the furiously final pin|1993|1|1|1|0|1|
194|187|F|139708.22|1992-04-05|3-MEDIUM|Clerk#000000352|0|egular requests haggle slyly regular, regular pinto beans. asymptote|1992|1|0|1|0|1|
195|407|F|141533.82|1993-12-28|3-MEDIUM|Clerk#000000216|0|old forges are furiously sheaves. slyly fi|1993|1|0|1|0|1|
196|196|F|38631.68|1993-03-17|2-HIGH|Clerk#000000988|0|beans boost at the foxes. silent foxes|1993|1|0|1|0|1|
197|98|P|118000.26|1995-04-07|2-HIGH|Clerk#000000969|0|solve quickly about the even braids. carefully express deposits affix care|1995|0|0|1|1|1|
198|331|O|141597.18|1998-01-02|4-NOT SPECIFIED|Clerk#000000331|0|its. carefully ironic requests sleep. furiously express fox|1998|0|0|1|0|1|
199|160|O|101315.66|1996-03-07|2-HIGH|Clerk#000000489|0|g theodolites. special packag|1996|0|0|1|1|1|
224|8|F|195754.85|1994-06-18|4-NOT SPECIFIED|Clerk#000000642|0|r the quickly thin courts. carefully|1994|1|0|1|0|1|
225|100|P|207943.26|1995-05-25|1-URGENT|Clerk#000000177|0|s. blithely ironic accounts wake quickly fluffily special acc|1995|0|0|1|1|1|
226|383|F|210015.53|1993-03-10|2-HIGH|Clerk#000000756|0|s are carefully at the blithely ironic acc|1993|1|0|1|0|1|
227|31|O|60735.23|1995-11-10|5-LOW|Clerk#000000919|0| express instructions. slyly regul|1995|0|0|1|1|1|
228|133|F|2662.32|1993-02-25|1-URGENT|Clerk#000000562|0|es was slyly among the regular foxes. blithely regular dependenci|1993|1|0|1|0|1|
229|337|F|174563.86|1993-12-29|1-URGENT|Clerk#000000628|0|he fluffily even instructions. furiously i|1993|1|0|1|0|1|
230|308|F|126925.75|1993-10-27|1-URGENT|Clerk#000000520|0|odolites. carefully quick requ|1993|1|1|1|0|1|
231|274|F|176105.71|1994-09-29|2-HIGH|Clerk#000000446|0| packages haggle slyly after the carefully ironic instruct|1994|1|0|1|0|1|
256|376|F|130838.90|1993-10-19|4-NOT SPECIFIED|Clerk#000000834|0|he fluffily final ideas might are final accounts. carefully f|1993|1|1|1|0|1|
257|370|O|9085.34|1998-03-28|3-MEDIUM|Clerk#000000680|0|ts against the sly warhorses cajole slyly accounts|1998|0|0|1|0|1|
258|127|F|237452.85|1993-12-29|1-URGENT|Clerk#000000167|0|dencies. blithely quick packages cajole. ruthlessly final accounts|1993|1|0|1|0|1|
259|130|F|88647.86|1993-09-29|4-NOT SPECIFIED|Clerk#000000601|0|ages doubt blithely against the final foxes. carefully express deposits dazzle|1993|1|1|1|0|1|
260|316|O|216241.93|1996-12-10|3-MEDIUM|Clerk#000000960|0|lently regular pinto beans sleep after the slyly e|1996|0|0|1|1|1|
261|139|F|235063.79|1993-06-29|3-MEDIUM|Clerk#000000310|0|ully fluffily brave instructions. furiousl|1993|1|0|1|0|1|
262|92|O|131902.82|1995-11-25|4-NOT SPECIFIED|Clerk#000000551|0|l packages. blithely final pinto beans use carefu|1995|0|0|1|1|1|
263|349|F|96249.82|1994-05-17|2-HIGH|Clerk#000000088|0| pending instructions. blithely un|1994|1|0|1|0|1|
288|22|O|197577.06|1997-02-21|1-URGENT|Clerk#000000109|0|uriously final requests. even, final ideas det|1997|0|0|1|0|1|
289|313|O|147499.37|1997-02-10|3-MEDIUM|Clerk#000000103|0|sily. slyly special excuse|1997|0|0|1|0|1|
290|355|F|69592.91|1994-01-01|4-NOT SPECIFIED|Clerk#000000735|0|efully dogged deposits. furiou|1994|1|0|1|0|1|
291|424|F|80305.54|1994-03-13|1-URGENT|Clerk#000000923|0|dolites. carefully regular pinto beans cajol|1994|1|0|1|0|1|
292|67|F|37613.14|1992-01-13|2-HIGH|Clerk#000000193|0|g pinto beans will have to sleep f|1992|1|0|1|0|1|
293|91|F|44334.46|1992-10-02|2-HIGH|Clerk#000000629|0|re bold, ironic deposits. platelets c|1992|1|0|1|0|1|
294|152|F|33788.81|1993-07-16|3-MEDIUM|Clerk#000000499|0|kly according to the frays. final dolphins affix quickly |1993|1|0|1|0|1|
295|58|F|109258.14|1994-09-29|2-HIGH|Clerk#000000155|0| unusual pinto beans play. regular ideas haggle|1994|1|0|1|0|1|
320|1|O|44941.92|1997-11-21|2-HIGH|Clerk#000000573|0|ar foxes nag blithely|1997|0|0|1|0|1|
321|368|F|73603.72|1993-03-21|3-MEDIUM|Clerk#000000289|0|equests run. blithely final dependencies after the deposits wake caref|1993|1|0|1|0|1|
322|401|F|140475.40|1992-03-19|1-URGENT|Clerk#000000158|0|fully across the slyly bold packages. packages against the quickly regular i|1992|1|0|1|0|1|
323|118|F|101788.79|1994-03-26|1-URGENT|Clerk#000000959|0|arefully pending foxes sleep blithely. slyly express accoun|1994|1|0|1|0|1|
324|316|F|36622.68|1992-03-20|1-URGENT|Clerk#000000352|0| about the ironic, regular deposits run blithely against the excuses|1992|1|0|1|0|1|
325|121|F|84971.05|1993-10-17|5-LOW|Clerk#000000844|0|ly sometimes pending pa|1993|1|1|1|0|1|
326|229|O|273936.49|1995-06-04|2-HIGH|Clerk#000000466|0| requests. furiously ironic asymptotes mold carefully alongside of the blit|1995|0|0|1|1|1|
327|434|P|29694.53|1995-04-17|5-LOW|Clerk#000000992|0|ng the slyly final courts. slyly even escapades eat |1995|0|0|1|1|1|
352|320|F|18130.89|1994-03-08|2-HIGH|Clerk#000000932|0|ke slyly bold pinto beans. blithely regular accounts against the spe|1994|1|0|1|0|1|
353|7|F|218944.56|1993-12-31|5-LOW|Clerk#000000449|0| quiet ideas sleep. even instructions cajole slyly. silently spe|1993|1|0|1|0|1|
354|415|O|180365.60|1996-03-14|2-HIGH|Clerk#000000511|0|ly regular ideas wake across the slyly silent ideas. final deposits eat b|1996|0|0|1|1|1|
355|211|F|83822.10|1994-06-14|5-LOW|Clerk#000000532|0|s. sometimes regular requests cajole. regular, pending accounts a|1994|1|0|1|0|1|
356|442|F|195117.55|1994-06-30|4-NOT SPECIFIED|Clerk#000000944|0|as wake along the bold accounts. even, |1994|1|0|1|0|1|
357|182|O|128377.98|1996-10-09|2-HIGH|Clerk#000000301|0|e blithely about the express, final accounts. quickl|1996|0|0|1|1|1|
358|7|F|288207.53|1993-09-20|2-HIGH|Clerk#000000392|0|l, silent instructions are slyly. silently even de|1993|1|1|1|0|1|
359|233|F|177516.00|1994-12-19|3-MEDIUM|Clerk#000000934|0|n dolphins. special courts above the carefully ironic requests use|1994|1|0|1|0|1|
384|340|F|151578.92|1992-03-03|5-LOW|Clerk#000000206|0|, even accounts use furiously packages. slyly ironic pla|1992|1|0|1|0|1|
385|100|O|57878.69|1996-03-22|5-LOW|Clerk#000000600|0|hless accounts unwind bold pain|1996|0|0|1|1|1|
386|181|F|113028.06|1995-01-25|2-HIGH|Clerk#000000648|0| haggle quickly. stealthily bold asymptotes haggle among the furiously even re|1995|1|0|1|1|1|
387|10|O|161847.68|1997-01-26|4-NOT SPECIFIED|Clerk#000000768|0| are carefully among the quickly even deposits. furiously silent req|1997|0|0|1|0|1|
388|136|F|139261.38|1992-12-16|4-NOT SPECIFIED|Clerk#000000356|0|ar foxes above the furiously ironic deposits nag slyly final reque|1992|1|0|1|0|1|
389|382|F|2672.77|1994-02-17|2-HIGH|Clerk#000000062|0|ing to the regular asymptotes. final, pending foxes about the blithely sil|1994|1|0|1|0|1|
390|308|O|213571.69|1998-04-07|5-LOW|Clerk#000000404|0|xpress asymptotes use among the regular, final pinto b|1998|0|0|1|0|1|
391|331|F|16443.09|1994-11-17|2-HIGH|Clerk#000000256|0|orges thrash fluffil|1994|1|0|1|0|1|
416|121|F|88856.33|1993-09-27|5-LOW|Clerk#000000294|0| the accounts. fluffily bold depo|1993|1|1|1|0|1|
417|164|F|101425.33|1994-02-06|3-MEDIUM|Clerk#000000468|0|ironic, even packages. thinly unusual accounts sleep along the slyly unusual |1994|1|0|1|0|1|
418|286|P|34523.61|1995-04-13|4-NOT SPECIFIED|Clerk#000000643|0|. furiously ironic instruc|1995|0|0|1|1|1|
419|349|O|133019.37|1996-10-01|3-MEDIUM|Clerk#000000376|0|osits. blithely pending theodolites boost carefully|1996|0|0|1|1|1|
420|271|O|229011.40|1995-10-31|4-NOT SPECIFIED|Clerk#000000756|0|leep carefully final excuses. fluffily pending requests unwind carefully above|1995|0|0|1|1|1|
421|118|F|1363.59|1992-02-22|5-LOW|Clerk#000000405|0|egular, even packages according to the final, un|1992|1|0|1|0|1|
422|220|O|139132.45|1997-05-31|4-NOT SPECIFIED|Clerk#000000049|0|aggle carefully across the accounts. regular accounts eat fluffi|1997|0|0|1|0|1|
423|311|O|33889.44|1996-06-01|1-URGENT|Clerk#000000674|0|quests. deposits cajole quickly. furiously bold accounts haggle q|1996|0|0|1|1|1|
448|449|O|141876.91|1995-08-21|3-MEDIUM|Clerk#000000597|0| regular, express foxes use blithely. quic|1995|0|0|1|1|1|
449|289|O|52811.17|1995-07-20|2-HIGH|Clerk#000000841|0|. furiously regular theodolites affix blithely |1995|0|0|1|1|1|
450|143|P|190883.57|1995-03-05|4-NOT SPECIFIED|Clerk#000000293|0|d theodolites. boldly bold foxes since the pack|1995|1|0|1|1|1|
451|298|O|121431.99|1998-05-25|5-LOW|Clerk#000000048|0|nic pinto beans. theodolites poach carefully; |1998|0|0|1|0|1|
452|179|O|2460.80|1997-10-14|1-URGENT|Clerk#000000498|0|t, unusual instructions above the blithely bold pint|1997|0|0|1|0|1|
453|133|O|262843.65|1997-05-26|5-LOW|Clerk#000000504|0|ss foxes. furiously regular ideas sleep according to t|1997|0|0|1|0|1|
454|148|O|28558.32|1995-12-27|5-LOW|Clerk#000000890|0|dolites sleep carefully blithely regular deposits. quickly regul|1995|0|0|1|1|1|
455|37|O|160758.43|1996-12-04|1-URGENT|Clerk#000000796|0| about the final platelets. dependen|1996|0|0|1|1|1|
480|215|F|22773.54|1993-05-08|5-LOW|Clerk#000000004|0|ealthy pinto beans. fluffily regular requests along the special sheaves wake |1993|1|0|1|0|1|
481|92|F|143171.62|1992-10-08|2-HIGH|Clerk#000000230|0|ly final ideas. packages haggle fluffily|1992|1|0|1|0|1|
482|376|O|159399.92|1996-03-26|1-URGENT|Clerk#000000295|0|ts. deposits wake: final acco|1996|0|0|1|1|1|
483|106|O|45680.17|1995-07-11|2-HIGH|Clerk#000000025|0|cross the carefully final e|1995|0|0|1|1|1|
484|163|O|260357.43|1997-01-03|3-MEDIUM|Clerk#000000545|0|grouches use. furiously bold accounts maintain. bold, regular deposits|1997|0|0|1|0|1|
485|302|O|133667.13|1997-03-26|2-HIGH|Clerk#000000105|0| regular ideas nag thinly furiously s|1997|0|0|1|0|1|
486|154|O|213951.11|1996-03-11|4-NOT SPECIFIED|Clerk#000000803|0|riously dolphins. fluffily ironic requ|1996|0|0|1|1|1|
487|325|F|57469.15|1992-08-18|1-URGENT|Clerk#000000086|0|ithely unusual courts eat accordi|1992|1|0|1|0|1|
512|190|P|150543.23|1995-05-20|5-LOW|Clerk#000000814|0|ding requests. carefully express theodolites was quickly. furious|1995|0|0|1|1|1|
513|182|O|76822.53|1995-05-01|2-HIGH|Clerk#000000522|0|regular packages. pinto beans cajole carefully against the even|1995|0|0|1|1|1|
514|226|O|126162.30|1996-04-04|2-HIGH|Clerk#000000094|0| cajole furiously. slyly final excuses cajole. slyly special instructions |1996|0|0|1|1|1|
515|427|F|192143.25|1993-08-29|4-NOT SPECIFIED|Clerk#000000700|0|eposits are furiously furiously silent pinto beans. pending pack|1993|1|1|1|0|1|
516|133|O|11255.62|1998-04-21|2-HIGH|Clerk#000000305|0|lar, unusual platelets are carefully. even courts sleep bold, final pinto bea|1998|0|0|1|0|1|
517|28|O|93831.37|1997-04-07|5-LOW|Clerk#000000359|0|slyly pending deposits cajole quickly packages. furiou|1997|0|0|1|0|1|
518|434|O|286981.63|1998-02-08|2-HIGH|Clerk#000000768|0| the carefully bold accounts. quickly regular excuses are|1998|0|0|1|0|1|
519|190|O|103927.89|1997-10-31|1-URGENT|Clerk#000000985|0|ains doze furiously against the f|1997|0|0|1|0|1|
544|281|F|60336.85|1993-02-17|2-HIGH|Clerk#000000145|0|the special, final accounts. dogged dolphins|1993|1|0|1|0|1|
545|190|O|30932.42|1995-11-07|2-HIGH|Clerk#000000537|0|as. blithely final hockey players about th|1995|0|0|1|1|1|
546|430|O|17330.37|1996-11-01|2-HIGH|Clerk#000000041|0|osits sleep. slyly special dolphins about the q|1996|0|0|1|1|1|
547|295|O|117631.42|1996-06-22|3-MEDIUM|Clerk#000000976|0|ing accounts eat. carefully regular packa|1996|0|0|1|1|1|
548|373|F|115384.86|1994-09-21|1-URGENT|Clerk#000000435|0|arefully express instru|1994|1|0|1|0|1|
549|331|F|169375.46|1992-07-13|1-URGENT|Clerk#000000196|0|ideas alongside of |1992|1|0|1|0|1|
550|71|O|44669.79|1995-08-02|1-URGENT|Clerk#000000204|0|t requests. blithely |1995|0|0|1|1|1|
551|269|O|58612.48|1995-05-30|1-URGENT|Clerk#000000179|0|xpress accounts boost quic|1995|0|0|1|1|1|
576|89|O|20884.27|1997-05-13|3-MEDIUM|Clerk#000000955|0|l requests affix regular requests. final account|1997|0|0|1|0|1|
577|166|F|37677.36|1994-12-19|5-LOW|Clerk#000000154|0| deposits engage stealthil|1994|1|0|1|0|1|
578|278|O|92406.26|1997-01-10|5-LOW|Clerk#000000281|0|e blithely even packages. slyly pending platelets bes|1997|0|0|1|0|1|
579|202|O|129768.74|1998-03-11|2-HIGH|Clerk#000000862|0| regular instructions. blithely even p|1998|0|0|1|0|1|
580|178|O|112077.38|1997-07-05|2-HIGH|Clerk#000000314|0|tegrate fluffily regular accou|1997|0|0|1|0|1|
581|208|O|147156.94|1997-02-23|4-NOT SPECIFIED|Clerk#000000239|0| requests. even requests use slyly. blithely ironic |1997|0|0|1|0|1|
582|149|O|156983.98|1997-10-21|1-URGENT|Clerk#000000378|0|n pinto beans print a|1997|0|0|1|0|1|
583|142|O|161192.58|1997-03-19|3-MEDIUM|Clerk#000000792|0|efully express requests. a|1997|0|0|1|0|1|
608|79|O|83717.82|1996-02-28|3-MEDIUM|Clerk#000000995|0|nic waters wake slyly slyly expre|1996|0|0|1|1|1|
609|376|F|23951.10|1994-06-01|3-MEDIUM|Clerk#000000348|0|- ironic gifts believe furiously ca|1994|1|0|1|0|1|
610|152|O|221126.34|1995-08-02|1-URGENT|Clerk#000000610|0|totes. ironic, unusual packag|1995|0|0|1|1|1|
611|317|F|84064.19|1993-01-27|1-URGENT|Clerk#000000401|0|ounts detect furiously ac|1993|1|0|1|0|1|
612|245|F|178945.01|1992-10-21|3-MEDIUM|Clerk#000000759|0|boost quickly quickly final excuses. final foxes use bravely afte|1992|1|0|1|0|1|
613|415|O|40734.31|1995-06-18|2-HIGH|Clerk#000000172|0|ts hinder among the deposits. fluffily ironic depos|1995|0|0|1|1|1|
614|400|F|287328.68|1992-12-01|2-HIGH|Clerk#000000388|0| deposits! even, daring theodol|1992|1|0|1|0|1|
615|197|F|39737.07|1992-05-09|5-LOW|Clerk#000000388|0|t to promise asymptotes. packages haggle alongside of the fluffil|1992|1|0|1|0|1|
640|286|F|164861.57|1993-01-23|2-HIGH|Clerk#000000433|0|r, unusual accounts boost carefully final ideas. slyly silent theod|1993|1|0|1|0|1|
641|400|F|136991.88|1993-08-30|5-LOW|Clerk#000000175|0|ents cajole furiously about the quickly silent pac|1993|1|1|1|0|1|
642|121|F|25576.07|1993-12-16|3-MEDIUM|Clerk#000000357|0| among the requests wake slyly alongside of th|1993|1|0|1|0|1|
643|175|P|213187.17|1995-03-25|2-HIGH|Clerk#000000354|0|g dependencies. regular accounts |1995|0|0|1|1|1|
644|23|F|238110.05|1992-05-01|1-URGENT|Clerk#000000550|0| blithely unusual platelets haggle ironic, special excuses. excuses unwi|1992|1|0|1|0|1|
645|343|F|278026.54|1994-12-03|2-HIGH|Clerk#000000090|0|quickly daring theodolites across the regu|1994|1|0|1|0|1|
646|152|F|168737.64|1994-11-22|2-HIGH|Clerk#000000203|0|carefully even foxes. fina|1994|1|0|1|0|1|
647|430|O|62989.99|1997-08-07|1-URGENT|Clerk#000000270|0|egular pearls. carefully express asymptotes are. even account|1997|0|0|1|0|1|
672|325|F|117271.53|1994-04-14|5-LOW|Clerk#000000106|0|egular requests are furiously according to |1994|1|0|1|0|1|
673|238|F|24209.25|1994-03-10|1-URGENT|Clerk#000000448|0| special pinto beans use quickly furiously even depende|1994|1|0|1|0|1|
674|100|F|32392.36|1992-08-29|5-LOW|Clerk#000000448|0|ully special deposits. furiously final warhorses affix carefully. fluffily f|1992|1|0|1|0|1|
675|37|O|149422.87|1997-07-31|2-HIGH|Clerk#000000168|0|ffily between the careful|1997|0|0|1|0|1|
676|115|O|201009.53|1996-12-13|2-HIGH|Clerk#000000248|0|the final deposits. special, pending|1996|0|0|1|1|1|
677|373|F|176115.24|1993-11-24|3-MEDIUM|Clerk#000000824|0|uriously special pinto beans cajole carefully. fi|1993|1|0|1|0|1|
678|392|F|170558.58|1993-02-27|5-LOW|Clerk#000000530|0|. blithely final somas about the|1993|1|0|1|0|1|
679|146|O|12093.10|1995-12-15|2-HIGH|Clerk#000000853|0|tealthy, final pinto beans haggle slyly. pending platelets about the special, |1995|0|0|1|1|1|
704|254|O|71500.05|1996-11-21|3-MEDIUM|Clerk#000000682|0|blithely pending platelets wake alongside of the final, iron|1996|0|0|1|1|1|
705|130|O|108816.03|1997-02-13|4-NOT SPECIFIED|Clerk#000000294|0|ithely regular dependencies. express, even packages sleep slyly pending t|1997|0|0|1|0|1|
706|443|O|32569.39|1995-09-09|1-URGENT|Clerk#000000448|0|g the packages. deposits caj|1995|0|0|1|1|1|
707|349|F|70856.35|1994-11-20|3-MEDIUM|Clerk#000000199|0| ideas about the silent, bold deposits nag dolphins|1994|1|0|1|0|1|
708|95|O|125661.40|1998-07-03|3-MEDIUM|Clerk#000000101|0|lphins cajole about t|1998|0|0|1|0|1|
709|109|O|90439.12|1998-04-21|1-URGENT|Clerk#000000461|0|ons alongside of the carefully bold pinto bea|1998|0|0|1|0|1|
710|394|F|269589.27|1993-01-02|5-LOW|Clerk#000000026|0| regular, regular requests boost. fluffily re|1993|1|0|1|0|1|
711|193|F|114205.79|1993-09-23|4-NOT SPECIFIED|Clerk#000000856|0|its. fluffily regular gifts are furi|1993|1|1|1|0|1|
736|140|O|162730.33|1998-06-21|5-LOW|Clerk#000000881|0|refully of the final pi|1998|0|0|1|0|1|
737|359|F|17356.73|1992-04-26|5-LOW|Clerk#000000233|0|ake blithely express, ironic theodolites. blithely special accounts wa|1992|1|0|1|0|1|
738|64|F|151829.99|1993-03-02|4-NOT SPECIFIED|Clerk#000000669|0|ly even foxes. furiously regular accounts cajole ca|1993|1|0|1|0|1|
739|1|O|180601.47|1998-05-31|5-LOW|Clerk#000000900|0| against the slyly ironic packages nag slyly ironic|1998|0|0|1|0|1|
740|131|O|99432.09|1995-07-16|3-MEDIUM|Clerk#000000583|0|courts haggle furiously across the final, regul|1995|0|0|1|1|1|
741|314|O|61247.21|1998-07-07|2-HIGH|Clerk#000000295|0|ic instructions. slyly express instructions solv|1998|0|0|1|0|1|
742|310|F|260479.30|1994-12-23|5-LOW|Clerk#000000543|0|equests? slyly ironic dolphins boost carefully above the blithely|1994|1|0|1|0|1|
743|235|O|31904.18|1996-10-04|4-NOT SPECIFIED|Clerk#000000933|0|eans. furiously ironic deposits sleep carefully carefully qui|1996|0|0|1|1|1|
768|292|O|254977.50|1996-08-20|3-MEDIUM|Clerk#000000411|0|jole slyly ironic packages. slyly even idea|1996|0|0|1|1|1|
769|241|F|57011.25|1993-06-02|3-MEDIUM|Clerk#000000172|0|ggle furiously. ironic packages haggle slyly. bold platelets affix s|1993|1|0|1|0|1|
770|97|O|80452.91|1998-05-23|5-LOW|Clerk#000000572|0|heodolites. furiously special pinto beans cajole pac|1998|0|0|1|0|1|
771|134|O|124427.13|1995-06-17|1-URGENT|Clerk#000000105|0|s. furiously final instructions across the deposit|1995|0|0|1|1|1|
772|290|F|147479.27|1993-04-17|2-HIGH|Clerk#000000430|0|s boost blithely fluffily idle ideas? fluffily even pin|1993|1|0|1|0|1|
773|397|F|167013.89|1993-09-26|3-MEDIUM|Clerk#000000307|0|tions are quickly accounts. accounts use bold, even pinto beans. gifts ag|1993|1|1|1|0|1|
774|239|O|189278.56|1995-12-04|1-URGENT|Clerk#000000883|0|tealthily even depths|1995|0|0|1|1|1|
