11
o_orderkey|o_custkey|o_totalprice|o_orderdate|o_shippriority|o_year|q3_annot|q10_annot|q18_annot|q8_annot|q9_annot|
353|59|279030.30|1993-12-31|0|1993|1|0|1|0|1|
354|4564|214571.30|1996-03-14|0|1996|0|0|1|1|1|
355|2311|92010.90|1994-06-14|0|1994|1|0|1|0|1|
356|4846|242934.72|1994-06-30|0|1994|1|0|1|0|1|
357|1994|121800.49|1996-10-09|0|1996|0|0|1|1|1|
358|76|299920.15|1993-09-20|0|1993|1|1|1|0|1|
359|2561|196419.89|1994-12-19|0|1994|1|0|1|0|1|
384|3730|161440.86|1992-03-03|0|1992|1|0|1|0|1|
385|1088|84653.14|1996-03-22|0|1996|0|0|1|1|1|
386|1984|94529.95|1995-01-25|0|1995|1|0|1|1|1|
387|109|167196.09|1997-01-26|0|1997|0|0|1|0|1|
388|1475|128970.22|1992-12-16|0|1992|1|0|1|0|1|
389|4192|2098.89|1994-02-17|0|1994|1|0|1|0|1|
390|3385|207952.13|1998-04-07|0|1998|0|0|1|0|1|
391|3640|11916.35|1994-11-17|0|1994|1|0|1|0|1|
416|1325|95743.29|1993-09-27|0|1993|1|1|1|0|1|
417|1802|122324.40|1994-02-06|0|1994|1|0|1|0|1|
418|3130|52499.98|1995-04-13|0|1995|0|0|1|1|1|
419|3838|130668.53|1996-10-01|0|1996|0|0|1|1|1|
420|2975|262810.23|1995-10-31|0|1995|0|0|1|1|1|
421|1292|1359.39|1992-02-22|0|1992|1|0|1|0|1|
422|2413|138289.66|1997-05-31|0|1997|0|0|1|0|1|
423|3413|32868.88|1996-06-01|0|1996|0|0|1|1|1|
448|4939|179373.32|1995-08-21|0|1995|0|0|1|1|1|
449|3161|43694.10|1995-07-20|0|1995|0|0|1|1|1|
450|1564|208931.97|1995-03-05|0|1995|1|0|1|1|1|
451|3259|124760.93|1998-05-25|0|1998|0|0|1|0|1|
452|1966|3337.74|1997-10-14|0|1997|0|0|1|0|1|
453|1453|297565.47|1997-05-26|0|1997|0|0|1|0|1|
454|1610|40669.55|1995-12-27|0|1995|0|0|1|1|1|
455|400|207900.57|1996-12-04|0|1996|0|0|1|1|1|
480|2356|34957.27|1993-05-08|0|1993|1|0|1|0|1|
481|1003|161416.04|1992-10-08|0|1992|1|0|1|0|1|
482|4127|170834.75|1996-03-26|0|1996|0|0|1|1|1|
483|1150|60417.58|1995-07-11|0|1995|0|0|1|1|1|
484|1790|287527.16|1997-01-03|0|1997|0|0|1|0|1|
485|3319|191765.13|1997-03-26|0|1997|0|0|1|0|1|
486|1679|253357.79|1996-03-11|0|1996|0|0|1|1|1|
487|3559|47185.58|1992-08-18|0|1992|1|0|1|0|1|
512|2080|190174.45|1995-05-20|0|1995|0|0|1|1|1|
513|1999|58694.52|1995-05-01|0|1995|0|0|1|1|1|
514|2471|173990.15|1996-04-04|0|1996|0|0|1|1|1|
515|4681|216041.48|1993-08-29|0|1993|1|1|1|0|1|
516|1450|19921.82|1998-04-21|0|1998|0|0|1|0|1|
517|305|116230.76|1997-04-07|0|1997|0|0|1|0|1|
518|4765|259286.98|1998-02-08|0|1998|0|0|1|0|1|
519|2078|126034.69|1997-10-31|0|1997|0|0|1|0|1|
544|3082|67586.02|1993-02-17|0|1993|1|0|1|0|1|
545|2084|33293.21|1995-11-07|0|1995|0|0|1|1|1|
546|4727|25446.24|1996-11-01|0|1996|0|0|1|1|1|
547|3241|129090.09|1996-06-22|0|1996|0|0|1|1|1|
548|4087|113268.20|1994-09-21|0|1994|1|0|1|0|1|
549|3628|188781.64|1992-07-13|0|1992|1|0|1|0|1|
550|778|36040.11|1995-08-02|0|1995|0|0|1|1|1|
551|2959|56448.48|1995-05-30|0|1995|0|0|1|1|1|
576|976|23241.54|1997-05-13|0|1997|0|0|1|0|1|
577|1820|54796.62|1994-12-19|0|1994|1|0|1|0|1|
578|3056|69392.91|1997-01-10|0|1997|0|0|1|0|1|
579|2213|156528.26|1998-03-11|0|1998|0|0|1|0|1|
580|1955|128423.03|1997-07-05|0|1997|0|0|1|0|1|
581|2269|147703.56|1997-02-23|0|1997|0|0|1|0|1|
582|1630|195561.29|1997-10-21|0|1997|0|0|1|0|1|
583|1556|187003.03|1997-03-19|0|1997|0|0|1|0|1|
608|857|73636.71|1996-02-28|0|1996|0|0|1|1|1|
609|4129|23251.90|1994-06-01|0|1994|1|0|1|0|1|
610|1672|247707.61|1995-08-02|0|1995|0|0|1|1|1|
611|3482|125714.82|1993-01-27|0|1993|1|0|1|0|1|
612|2689|166520.31|1992-10-21|0|1992|1|0|1|0|1|
613|4564|51690.03|1995-06-18|0|1995|0|0|1|1|1|
614|4399|272155.69|1992-12-01|0|1992|1|0|1|0|1|
615|2159|44290.29|1992-05-09|0|1992|1|0|1|0|1|
640|3140|162138.66|1993-01-23|0|1993|1|0|1|0|1|
641|4384|132697.87|1993-08-30|0|1993|1|1|1|0|1|
642|1318|40292.99|1993-12-16|0|1993|1|0|1|0|1|
643|1907|245420.48|1995-03-25|0|1995|0|0|1|1|1|
644|244|289451.22|1992-05-01|0|1992|1|0|1|0|1|
645|3770|285306.26|1994-12-03|0|1994|1|0|1|0|1|
646|1664|223891.53|1994-11-22|0|1994|1|0|1|0|1|
647|4717|78992.99|1997-08-07|0|1997|0|0|1|0|1|
672|3568|131037.53|1994-04-14|0|1994|1|0|1|0|1|
673|2612|26758.35|1994-03-10|0|1994|1|0|1|0|1|
674|1094|36560.11|1992-08-29|0|1992|1|0|1|0|1|
675|388|167437.11|1997-07-31|0|1997|0|0|1|0|1|
676|1252|222878.04|1996-12-13|0|1996|0|0|1|1|1|
677|4088|248555.94|1993-11-24|0|1993|1|0|1|0|1|
678|4312|183866.23|1993-02-27|0|1993|1|0|1|0|1|
679|1601|10117.27|1995-12-15|0|1995|0|0|1|1|1|
704|2785|61376.11|1996-11-21|0|1996|0|0|1|1|1|
705|1411|108933.50|1997-02-13|0|1997|0|0|1|0|1|
706|4864|30491.23|1995-09-09|0|1995|0|0|1|1|1|
707|3833|65283.82|1994-11-20|0|1994|1|0|1|0|1|
708|1042|137202.53|1998-07-03|0|1998|0|0|1|0|1|
709|1189|102677.58|1998-04-21|0|1998|0|0|1|0|1|
710|4328|268295.99|1993-01-02|0|1993|1|0|1|0|1|
711|2102|106539.30|1993-09-23|0|1993|1|1|1|0|1|
736|1531|169693.47|1998-06-21|0|1998|0|0|1|0|1|
737|3949|10870.91|1992-04-26|0|1992|1|0|1|0|1|
738|685|159907.67|1993-03-02|0|1993|1|0|1|0|1|
739|11|209644.91|1998-05-31|0|1998|0|0|1|0|1|
740|1433|97169.81|1995-07-16|0|1995|0|0|1|1|1|
741|3449|65354.83|1998-07-07|0|1998|0|0|1|0|1|
742|3394|245876.09|1994-12-23|0|1994|1|0|1|0|1|
743|2585|26493.15|1996-10-04|0|1996|0|0|1|1|1|
768|3203|329051.84|1996-08-20|0|1996|0|0|1|1|1|
769|2641|65349.24|1993-06-02|0|1993|1|0|1|0|1|
770|1054|110672.27|1998-05-23|0|1998|0|0|1|0|1|
771|1471|137976.54|1995-06-17|0|1995|0|0|1|1|1|
772|3185|221966.08|1993-04-17|0|1993|1|0|1|0|1|
773|4351|226204.03|1993-09-26|0|1993|1|1|1|0|1|
774|2627|199654.64|1995-12-04|0|1995|0|0|1|1|1|
775|4396|80984.20|1995-03-18|0|1995|0|0|1|1|1|
800|1846|130604.23|1998-07-14|0|1998|0|0|1|0|1|
801|3889|159324.07|1992-02-18|0|1992|1|0|1|0|1|
802|4511|199856.42|1995-01-05|0|1995|1|0|1|1|1|
803|475|36332.29|1997-04-29|0|1997|0|0|1|0|1|
804|1649|118253.45|1993-03-12|0|1993|1|0|1|0|1|
805|4159|137231.12|1995-07-05|0|1995|0|0|1|1|1|
806|4315|33157.40|1996-06-20|0|1996|0|0|1|1|1|
807|4738|319063.21|1993-11-24|0|1993|1|0|1|0|1|
832|955|94580.26|1992-04-19|0|1992|1|0|1|0|1|
833|1823|73314.37|1994-02-13|0|1994|1|0|1|0|1|
834|1411|70507.32|1994-05-23|0|1994|1|0|1|0|1|
835|2137|72997.39|1995-10-08|0|1995|0|0|1|1|1|
836|2270|109026.57|1996-11-25|0|1996|0|0|1|1|1|
837|3823|111701.47|1994-06-15|0|1994|1|0|1|0|1|
838|541|120255.07|1998-01-29|0|1998|0|0|1|0|1|
839|922|72244.63|1995-08-08|0|1995|0|0|1|1|1|
864|4546|98766.46|1997-08-17|0|1997|0|0|1|0|1|
865|85|102173.02|1993-05-04|0|1993|1|0|1|0|1|
866|1264|6363.96|1992-11-28|0|1992|1|0|1|0|1|
867|830|10681.90|1993-11-16|0|1993|1|0|1|0|1|
868|3416|203904.71|1992-06-09|0|1992|1|0|1|0|1|
869|4444|75394.50|1997-01-12|0|1997|0|0|1|0|1|
870|1063|61438.30|1993-06-20|0|1993|1|0|1|0|1|
871|476|236976.21|1995-11-15|0|1995|0|0|1|1|1|
896|55|218132.81|1993-03-09|0|1993|1|0|1|0|1|
897|1615|67963.95|1995-03-20|0|1995|0|0|1|1|1|
898|1768|140911.38|1993-06-03|0|1993|1|0|1|0|1|
899|3580|213977.36|1998-04-08|0|1998|0|0|1|0|1|
900|1513|176229.17|1994-10-01|0|1994|1|0|1|0|1|
901|373|127637.28|1998-07-21|0|1998|0|0|1|0|1|
902|281|51856.85|1994-07-27|0|1994|1|0|1|0|1|
903|359|140613.51|1995-07-07|0|1995|0|0|1|1|1|
928|2167|325597.48|1995-03-02|0|1995|1|0|1|1|1|
929|2728|145867.75|1992-10-02|0|1992|1|0|1|0|1|
930|4322|270166.50|1994-12-17|0|1994|1|0|1|0|1|
931|3397|186164.40|1992-12-07|0|1992|1|0|1|0|1|
932|1331|57384.58|1997-05-16|0|1997|0|0|1|0|1|
933|3148|98893.52|1992-08-05|0|1992|1|0|1|0|1|
934|1693|30346.91|1996-07-03|0|1996|0|0|1|1|1|
935|1624|142860.86|1997-09-24|0|1997|0|0|1|0|1|
960|1144|102732.29|1994-09-21|0|1994|1|0|1|0|1|
961|1819|225730.85|1995-06-04|0|1995|0|0|1|1|1|
962|1165|147224.03|1994-05-06|0|1994|1|0|1|0|1|
963|835|60169.61|1994-05-26|0|1994|1|0|1|0|1|
964|2482|218597.17|1995-05-20|0|1995|0|0|1|1|1|
965|2260|63211.41|1995-05-15|0|1995|0|0|1|1|1|
966|440|197401.76|1998-04-30|0|1998|0|0|1|0|1|
967|3623|287981.62|1992-06-21|0|1992|1|0|1|0|1|
992|1775|186418.38|1997-11-11|0|1997|0|0|1|0|1|
993|2612|264636.09|1995-09-10|0|1995|0|0|1|1|1|
994|40|48837.24|1994-04-20|0|1994|1|0|1|0|1|
995|3829|175292.32|1995-05-31|0|1995|0|0|1|1|1|
996|2341|70549.59|1997-12-29|0|1997|0|0|1|0|1|
997|3587|38475.93|1997-05-19|0|1997|0|0|1|0|1|
998|1046|96129.11|1994-11-26|0|1994|1|0|1|0|1|
999|1987|237419.98|1993-09-05|0|1993|1|1|1|0|1|
1024|115|236138.39|1997-12-23|0|1997|0|0|1|0|1|
1025|3389|132290.46|1995-05-05|0|1995|0|0|1|1|1|
1026|2347|43872.89|1997-06-04|0|1997|0|0|1|0|1|
1027|4223|137905.46|1992-06-03|0|1992|1|0|1|0|1|
1028|2260|234611.53|1994-01-01|0|1994|1|0|1|0|1|
1029|4247|63924.67|1994-06-21|0|1994|1|0|1|0|1|
1030|4423|17415.11|1994-06-15|0|1994|1|0|1|0|1|
1031|119|151721.09|1994-09-01|0|1994|1|0|1|0|1|
1056|908|71386.29|1995-02-11|0|1995|1|0|1|1|1|
1057|2503|141182.98|1992-02-20|0|1992|1|0|1|0|1|
1058|1748|141741.70|1993-04-26|0|1993|1|0|1|0|1|
1059|4183|281818.06|1994-02-27|0|1994|1|0|1|0|1|
1060|4609|177916.28|1993-02-21|0|1993|1|0|1|0|1|
1061|3389|229849.76|1998-05-15|0|1998|0|0|1|0|1|
1062|3463|53558.90|1997-01-15|0|1997|0|0|1|0|1|
1063|1219|43222.38|1994-04-02|0|1994|1|0|1|0|1|
1088|4849|65129.43|1992-05-21|0|1992|1|0|1|0|1|
1089|1585|179730.84|1996-05-04|0|1996|0|0|1|1|1|
1090|565|53242.56|1997-11-15|0|1997|0|0|1|0|1|
1091|2732|43129.19|1996-08-27|0|1996|0|0|1|1|1|
1092|4064|85319.04|1995-03-04|0|1995|1|0|1|1|1|
1093|3322|140854.48|1997-07-31|0|1997|0|0|1|0|1|
1094|4744|14929.86|1997-12-24|0|1997|0|0|1|0|1|
1095|4729|257535.84|1995-08-22|0|1995|0|0|1|1|1|
1120|4588|171125.08|1997-11-07|0|1997|0|0|1|0|1|
1121|925|348998.76|1997-01-13|0|1997|0|0|1|0|1|
1122|3946|250481.77|1997-01-10|0|1997|0|0|1|0|1|
1123|2356|134188.71|1996-08-03|0|1996|0|0|1|1|1|
1124|2623|207338.51|1998-07-30|0|1998|0|0|1|0|1|
1125|797|116681.51|1994-10-27|0|1994|1|0|1|0|1|
1126|4726|80287.74|1998-01-28|0|1998|0|0|1|0|1|
1127|1895|156715.17|1995-09-19|0|1995|0|0|1|1|1|
1152|1616|64895.66|1994-08-14|0|1994|1|0|1|0|1|
1153|3946|294855.87|1996-04-18|0|1996|0|0|1|1|1|
1154|1159|261229.52|1992-02-15|0|1992|1|0|1|0|1|
1155|4939|165967.53|1997-10-06|0|1997|0|0|1|0|1|
1156|4345|296150.68|1996-10-19|0|1996|0|0|1|1|1|
1157|3193|123232.51|1998-01-14|0|1998|0|0|1|0|1|
1158|4663|33172.75|1996-06-30|0|1996|0|0|1|1|1|
1159|2255|74947.44|1992-09-18|0|1992|1|0|1|0|1|
1184|2921|57489.71|1997-10-26|0|1997|0|0|1|0|1|
1185|2425|49959.36|1992-08-24|0|1992|1|0|1|0|1|
1186|1942|98260.49|1996-08-15|0|1996|0|0|1|1|1|
1187|4411|127855.55|1992-11-20|0|1992|1|0|1|0|1|
1188|652|90507.77|1996-04-11|0|1996|0|0|1|1|1|
1189|1465|112636.98|1994-04-09|0|1994|1|0|1|0|1|
1190|394|52610.48|1997-03-16|0|1997|0|0|1|0|1|
1191|3640|45106.99|1995-11-07|0|1995|0|0|1|1|1|
1216|4027|91406.10|1992-12-07|0|1992|1|0|1|0|1|
1217|209|79139.55|1992-04-26|0|1992|1|0|1|0|1|
1218|272|130407.94|1994-06-20|0|1994|1|0|1|0|1|
1219|892|11947.10|1995-10-05|0|1995|0|0|1|1|1|
1220|1601|157015.02|1996-08-29|0|1996|0|0|1|1|1|
1221|440|190535.61|1992-04-19|0|1992|1|0|1|0|1|
1222|322|58349.64|1993-02-05|0|1993|1|0|1|0|1|
1223|298|31687.90|1996-05-25|0|1996|0|0|1|1|1|
1248|1552|266611.47|1992-01-02|0|1992|1|0|1|0|1|
1249|4939|87176.13|1994-01-05|0|1994|1|0|1|0|1|
1250|1183|13380.27|1992-09-29|0|1992|1|0|1|0|1|
1251|1246|141533.71|1997-10-30|0|1997|0|0|1|0|1|
1252|4948|135925.22|1997-08-04|0|1997|0|0|1|0|1|
1253|3776|144606.42|1993-01-26|0|1993|1|0|1|0|1|
1254|2305|124718.35|1995-12-22|0|1995|0|0|1|1|1|
1255|4016|73499.96|1994-05-30|0|1994|1|0|1|0|1|
1280|3154|111905.94|1993-01-11|0|1993|1|0|1|0|1|
1281|2017|215749.49|1994-12-11|0|1994|1|0|1|0|1|
1282|3826|99623.80|1992-02-29|0|1992|1|0|1|0|1|
1283|3839|225516.21|1996-08-30|0|1996|0|0|1|1|1|
1284|4423|152699.79|1996-01-07|0|1996|0|0|1|1|1|
1285|343|197576.88|1992-06-01|0|1992|1|0|1|0|1|
1286|3583|292347.54|1993-05-14|0|1993|1|0|1|0|1|
1287|571|182759.71|1994-07-05|0|1994|1|0|1|0|1|
1312|3664|83587.33|1994-05-19|0|1994|1|0|1|0|1|
1313|4874|78150.94|1994-09-13|0|1994|1|0|1|0|1|
1314|4697|81269.88|1994-05-13|0|1994|1|0|1|0|1|
1315|709|145715.41|1998-03-22|0|1998|0|0|1|0|1|
1316|526|199478.46|1993-12-03|0|1993|1|0|1|0|1|
1317|3271|190889.69|1995-05-19|0|1995|0|0|1|1|1|
1318|4217|112647.64|1998-06-27|0|1998|0|0|1|0|1|
1319|1028|32094.52|1996-09-27|0|1996|0|0|1|1|1|
1344|562|52999.91|1992-04-16|0|1992|1|0|1|0|1|
1345|3109|163037.32|1992-10-28|0|1992|1|0|1|0|1|
1346|2467|203436.85|1992-06-18|0|1992|1|0|1|0|1|
1347|1330|237086.08|1997-06-20|0|1997|0|0|1|0|1|
1348|574|135855.71|1998-04-18|0|1998|0|0|1|0|1|
1349|2102|81407.41|1997-10-26|0|1997|0|0|1|0|1|
1350|1675|76699.86|1993-08-24|0|1993|1|1|1|0|1|
1351|3497|35255.42|1998-04-20|0|1998|0|0|1|0|1|
1376|1520|32922.35|1997-05-04|0|1997|0|0|1|0|1|
1377|652|158606.06|1998-04-24|0|1998|0|0|1|0|1|
1378|646|141548.00|1996-03-09|0|1996|0|0|1|1|1|
1379|2119|135752.40|1998-05-25|0|1998|0|0|1|0|1|
1380|4496|125371.64|1996-07-07|0|1996|0|0|1|1|1|
1381|4171|85146.55|1998-05-25|0|1998|0|0|1|0|1|
1382|4366|250552.68|1993-08-17|0|1993|1|1|1|0|1|
1383|3946|39650.24|1993-04-27|0|1993|1|0|1|0|1|
1408|1780|277176.63|1997-12-26|0|1997|0|0|1|0|1|
1409|4717|79939.96|1992-12-31|0|1992|1|0|1|0|1|
1410|3700|159411.28|1997-04-12|0|1997|0|0|1|0|1|
1411|3116|262080.82|1994-12-21|0|1994|1|0|1|0|1|
1412|1745|112771.38|1993-03-13|0|1993|1|0|1|0|1|
1413|2989|102508.96|1997-06-14|0|1997|0|0|1|0|1|
1414|2518|46687.06|1995-08-16|0|1995|0|0|1|1|1|
1415|2597|42226.91|1994-05-29|0|1994|1|0|1|0|1|
1440|3227|80534.51|1995-08-10|0|1995|0|0|1|1|1|
1441|4021|201871.15|1997-03-06|0|1997|0|0|1|0|1|
1442|3649|13270.42|1994-07-05|0|1994|1|0|1|0|1|
1443|1447|48454.21|1996-12-16|0|1996|0|0|1|1|1|
1444|4399|289291.47|1994-12-06|0|1994|1|0|1|0|1|
1445|3749|202193.06|1995-01-10|0|1995|1|0|1|1|1|
1446|1321|36266.01|1998-02-16|0|1998|0|0|1|0|1|
1447|2971|140270.17|1992-10-15|0|1992|1|0|1|0|1|
1472|4946|79902.47|1996-10-06|0|1996|0|0|1|1|1|
1473|3044|121361.33|1997-03-17|0|1997|0|0|1|0|1|
1474|2278|50521.57|1995-01-09|0|1995|1|0|1|1|1|
1475|157|241776.31|1997-11-12|0|1997|0|0|1|0|1|
1476|4771|18371.08|1996-06-27|0|1996|0|0|1|1|1|
1477|2492|321560.02|1997-08-24|0|1997|0|0|1|0|1|
1478|1643|22529.56|1997-08-03|0|1997|0|0|1|0|1|
1479|481|54471.84|1995-12-16|0|1995|0|0|1|1|1|
1504|59|138003.58|1992-08-28|0|1992|1|0|1|0|1|
1505|1160|55430.40|1992-08-21|0|1992|1|0|1|0|1|
1506|4819|288167.90|1992-09-21|0|1992|1|0|1|0|1|
1507|3976|139510.37|1993-10-14|0|1993|1|1|1|0|1|
1508|3340|213746.74|1998-04-10|0|1998|0|0|1|0|1|
1509|2059|254719.24|1993-07-08|0|1993|1|0|1|0|1|
1510|1723|240327.29|1996-09-17|0|1996|0|0|1|1|1|
1511|2588|62284.26|1996-12-22|0|1996|0|0|1|1|1|
1536|3073|6156.50|1997-01-26|0|1997|0|0|1|0|1|
1537|3548|169623.40|1992-02-15|0|1992|1|0|1|0|1|
1538|955|217674.20|1995-06-18|0|1995|0|0|1|1|1|
1539|3688|54863.18|1995-03-10|0|1995|1|0|1|1|1|
1540|467|211637.23|1992-08-05|0|1992|1|0|1|0|1|
1541|3100|54933.22|1995-05-18|0|1995|0|0|1|1|1|
1542|4708|178871.68|1993-09-15|0|1993|1|1|1|0|1|
1543|1660|163313.77|1997-02-20|0|1997|0|0|1|0|1|
1568|551|120117.23|1997-01-30|0|1997|0|0|1|0|1|
1569|3419|122734.25|1998-04-02|0|1998|0|0|1|0|1|
1570|4036|36656.72|1998-03-16|0|1998|0|0|1|0|1|
1571|3388|213459.93|1992-12-05|0|1992|1|0|1|0|1|
1572|344|77281.70|1996-02-24|0|1996|0|0|1|1|1|
1573|4885|98247.48|1992-12-28|0|1992|1|0|1|0|1|
1574|4403|237527.61|1996-12-12|0|1996|0|0|1|1|1|
1575|4774|311049.79|1995-09-13|0|1995|0|0|1|1|1|
1600|3055|185916.83|1993-03-03|0|1993|1|0|1|0|1|
1601|1729|117637.01|1994-08-27|0|1994|1|0|1|0|1|
1602|31|3662.96|1993-08-05|0|1993|1|1|1|0|1|
1603|38|32104.27|1993-07-31|0|1993|1|0|1|0|1|
1604|3703|164682.92|1993-07-17|0|1993|1|0|1|0|1|
1605|1901|199565.77|1998-04-24|0|1998|0|0|1|0|1|
1606|1747|158430.26|1997-04-17|0|1997|0|0|1|0|1|
1607|4927|242493.66|1995-12-16|0|1995|0|0|1|1|1|
1632|2174|273297.34|1997-01-08|0|1997|0|0|1|0|1|
1633|469|79134.70|1995-10-14|0|1995|0|0|1|1|1|
1634|2273|212106.90|1996-09-10|0|1996|0|0|1|1|1|
1635|124|107949.77|1997-02-13|0|1997|0|0|1|0|1|
1636|2596|214797.23|1997-06-17|0|1997|0|0|1|0|1|
1637|2401|260335.20|1995-02-08|0|1995|1|0|1|1|1|
1638|4583|237762.08|1997-08-13|0|1997|0|0|1|0|1|
1639|143|136653.98|1995-08-20|0|1995|0|0|1|1|1|
1664|2110|261704.92|1996-03-03|0|1996|0|0|1|1|1|
1665|2497|7262.32|1994-05-08|0|1994|1|0|1|0|1|
