7
c_custkey|c_name|c_nationkey|q3_annot|q10_annot|q18_annot|q8_annot|
181|Customer#000000181|9|0|1|1|1|
182|Customer#000000182|3|1|1|1|0|
183|Customer#000000183|22|0|1|1|0|
184|Customer#000000184|21|1|1|1|1|
185|Customer#000000185|5|0|1|1|0|
186|Customer#000000186|3|0|1|1|0|
187|Customer#000000187|4|0|1|1|0|
188|Customer#000000188|5|0|1|1|0|
189|Customer#000000189|22|0|1|1|0|
190|Customer#000000190|11|1|1|1|0|
191|Customer#000000191|16|0|1|1|0|
192|Customer#000000192|10|0|1|1|0|
193|Customer#000000193|23|0|1|1|0|
194|Customer#000000194|16|0|1|1|0|
195|Customer#000000195|22|1|1|1|0|
196|Customer#000000196|18|0|1|1|1|
197|Customer#000000197|1|1|1|1|0|
198|Customer#000000198|1|1|1|1|0|
199|Customer#000000199|4|0|1|1|0|
200|Customer#000000200|16|0|1|1|0|
201|Customer#000000201|2|0|1|1|0|
202|Customer#000000202|7|1|1|1|0|
203|Customer#000000203|1|0|1|1|0|
204|Customer#000000204|6|0|1|1|0|
205|Customer#000000205|12|0|1|1|1|
206|Customer#000000206|9|1|1|1|1|
207|Customer#000000207|21|1|1|1|1|
208|Customer#000000208|19|0|1|1|0|
209|Customer#000000209|16|0|1|1|0|
210|Customer#000000210|20|0|1|1|0|
211|Customer#000000211|13|0|1|1|0|
212|Customer#000000212|7|0|1|1|0|
213|Customer#000000213|24|0|1|1|0|
214|Customer#000000214|8|0|1|1|1|
215|Customer#000000215|9|0|1|1|1|
216|Customer#000000216|21|0|1|1|1|
217|Customer#000000217|23|1|1|1|0|
218|Customer#000000218|4|0|1|1|0|
219|Customer#000000219|11|1|1|1|0|
220|Customer#000000220|16|0|1|1|0|
221|Customer#000000221|16|0|1|1|0|
222|Customer#000000222|1|0|1|1|0|
223|Customer#000000223|20|0|1|1|0|
224|Customer#000000224|15|0|1|1|0|
225|Customer#000000225|13|1|1|1|0|
226|Customer#000000226|3|1|1|1|0|
227|Customer#000000227|13|0|1|1|0|
228|Customer#000000228|20|0|1|1|0|
229|Customer#000000229|1|0|1|1|0|
230|Customer#000000230|21|0|1|1|1|
231|Customer#000000231|10|0|1|1|0|
232|Customer#000000232|22|0|1|1|0|
233|Customer#000000233|3|0|1|1|0|
234|Customer#000000234|18|1|1|1|1|
235|Customer#000000235|3|1|1|1|0|
236|Customer#000000236|14|1|1|1|0|
237|Customer#000000237|19|0|1|1|0|
238|Customer#000000238|16|0|1|1|0|
239|Customer#000000239|9|0|1|1|1|
240|Customer#000000240|9|0|1|1|1|
241|Customer#000000241|9|1|1|1|1|
242|Customer#000000242|3|0|1|1|0|
243|Customer#000000243|7|1|1|1|0|
244|Customer#000000244|15|0|1|1|0|
245|Customer#000000245|12|0|1|1|1|
246|Customer#000000246|15|1|1|1|0|
247|Customer#000000247|20|0|1|1|0|
248|Customer#000000248|10|0|1|1|0|
249|Customer#000000249|3|0|1|1|0|
250|Customer#000000250|16|0|1|1|0|
251|Customer#000000251|13|0|1|1|0|
252|Customer#000000252|16|0|1|1|0|
253|Customer#000000253|15|1|1|1|0|
254|Customer#000000254|1|0|1|1|0|
255|Customer#000000255|3|0|1|1|0|
256|Customer#000000256|10|0|1|1|0|
257|Customer#000000257|7|1|1|1|0|
258|Customer#000000258|12|0|1|1|1|
259|Customer#000000259|5|0|1|1|0|
260|Customer#000000260|1|0|1|1|0|
261|Customer#000000261|12|1|1|1|1|
262|Customer#000000262|4|1|1|1|0|
263|Customer#000000263|1|0|1|1|0|
264|Customer#000000264|11|0|1|1|0|
265|Customer#000000265|17|0|1|1|0|
266|Customer#000000266|0|0|1|1|0|
267|Customer#000000267|15|1|1|1|0|
268|Customer#000000268|3|0|1|1|0|
269|Customer#000000269|14|0|1|1|0|
270|Customer#000000270|7|1|1|1|0|
271|Customer#000000271|6|0|1|1|0|
272|Customer#000000272|2|0|1|1|0|
273|Customer#000000273|2|0|1|1|0|
274|Customer#000000274|19|0|1|1|0|
275|Customer#000000275|22|1|1|1|0|
276|Customer#000000276|16|1|1|1|0|
277|Customer#000000277|23|0|1|1|0|
278|Customer#000000278|20|0|1|1|0|
279|Customer#000000279|9|1|1|1|1|
280|Customer#000000280|11|0|1|1|0|
281|Customer#000000281|6|0|1|1|0|
282|Customer#000000282|18|0|1|1|1|
283|Customer#000000283|7|1|1|1|0|
284|Customer#000000284|6|1|1|1|0|
285|Customer#000000285|20|0|1|1|0|
286|Customer#000000286|22|0|1|1|0|
287|Customer#000000287|4|0|1|1|0|
288|Customer#000000288|2|0|1|1|0|
289|Customer#000000289|10|1|1|1|0|
290|Customer#000000290|4|0|1|1|0|
291|Customer#000000291|8|0|1|1|1|
292|Customer#000000292|11|0|1|1|0|
293|Customer#000000293|2|0|1|1|0|
294|Customer#000000294|18|0|1|1|1|
295|Customer#000000295|0|0|1|1|0|
296|Customer#000000296|15|0|1|1|0|
297|Customer#000000297|15|0|1|1|0|
298|Customer#000000298|21|0|1|1|1|
299|Customer#000000299|4|0|1|1|0|
300|Customer#000000300|7|1|1|1|0|
301|Customer#000000301|7|0|1|1|0|
302|Customer#000000302|4|0|1|1|0|
303|Customer#000000303|3|1|1|1|0|
304|Customer#000000304|0|0|1|1|0|
305|Customer#000000305|11|0|1|1|0|
306|Customer#000000306|10|1|1|1|0|
307|Customer#000000307|13|0|1|1|0|
308|Customer#000000308|9|0|1|1|1|
309|Customer#000000309|21|0|1|1|1|
310|Customer#000000310|1|0|1|1|0|
311|Customer#000000311|23|1|1|1|0|
312|Customer#000000312|6|1|1|1|0|
313|Customer#000000313|0|0|1|1|0|
314|Customer#000000314|13|0|1|1|0|
315|Customer#000000315|7|0|1|1|0|
316|Customer#000000316|8|0|1|1|1|
317|Customer#000000317|19|0|1|1|0|
318|Customer#000000318|0|0|1|1|0|
319|Customer#000000319|6|0|1|1|0|
320|Customer#000000320|12|0|1|1|1|
321|Customer#000000321|20|0|1|1|0|
322|Customer#000000322|20|0|1|1|0|
323|Customer#000000323|18|1|1|1|1|
324|Customer#000000324|2|0|1|1|0|
325|Customer#000000325|15|0|1|1|0|
326|Customer#000000326|2|0|1|1|0|
327|Customer#000000327|8|0|1|1|1|
328|Customer#000000328|5|0|1|1|0|
329|Customer#000000329|11|0|1|1|0|
330|Customer#000000330|20|0|1|1|0|
331|Customer#000000331|5|1|1|1|0|
332|Customer#000000332|22|0|1|1|0|
333|Customer#000000333|11|1|1|1|0|
334|Customer#000000334|4|0|1|1|0|
335|Customer#000000335|21|0|1|1|1|
336|Customer#000000336|2|1|1|1|0|
337|Customer#000000337|0|0|1|1|0|
338|Customer#000000338|23|0|1|1|0|
339|Customer#000000339|24|0|1|1|0|
340|Customer#000000340|2|0|1|1|0|
341|Customer#000000341|9|0|1|1|1|
342|Customer#000000342|18|1|1|1|1|
343|Customer#000000343|3|0|1|1|0|
344|Customer#000000344|2|0|1|1|0|
345|Customer#000000345|9|1|1|1|1|
346|Customer#000000346|2|0|1|1|0|
347|Customer#000000347|1|0|1|1|0|
348|Customer#000000348|13|0|1|1|0|
349|Customer#000000349|23|0|1|1|0|
350|Customer#000000350|15|0|1|1|0|
351|Customer#000000351|7|1|1|1|0|
352|Customer#000000352|9|0|1|1|1|
353|Customer#000000353|10|0|1|1|0|
354|Customer#000000354|2|0|1|1|0|
355|Customer#000000355|14|0|1|1|0|
356|Customer#000000356|10|0|1|1|0|
357|Customer#000000357|18|1|1|1|1|
358|Customer#000000358|5|0|1|1|0|
359|Customer#000000359|14|0|1|1|0|
360|Customer#000000360|17|0|1|1|0|
361|Customer#000000361|20|0|1|1|0|
362|Customer#000000362|17|1|1|1|0|
363|Customer#000000363|17|0|1|1|0|
364|Customer#000000364|23|0|1|1|0|
365|Customer#000000365|24|0|1|1|0|
366|Customer#000000366|3|0|1|1|0|
367|Customer#000000367|13|0|1|1|0|
368|Customer#000000368|22|0|1|1|0|
369|Customer#000000369|8|0|1|1|1|
370|Customer#000000370|12|0|1|1|1|
371|Customer#000000371|22|1|1|1|0|
372|Customer#000000372|19|0|1|1|0|
373|Customer#000000373|20|0|1|1|0|
374|Customer#000000374|22|1|1|1|0|
375|Customer#000000375|15|0|1|1|0|
376|Customer#000000376|16|1|1|1|0|
377|Customer#000000377|23|0|1|1|0|
378|Customer#000000378|22|0|1|1|0|
379|Customer#000000379|7|1|1|1|0|
380|Customer#000000380|21|0|1|1|1|
381|Customer#000000381|5|0|1|1|0|
382|Customer#000000382|8|1|1|1|1|
383|Customer#000000383|2|0|1|1|0|
384|Customer#000000384|9|0|1|1|1|
385|Customer#000000385|3|1|1|1|0|
386|Customer#000000386|24|0|1|1|0|
387|Customer#000000387|18|0|1|1|1|
388|Customer#000000388|7|0|1|1|0|
389|Customer#000000389|9|1|1|1|1|
390|Customer#000000390|4|0|1|1|0|
391|Customer#000000391|11|0|1|1|0|
392|Customer#000000392|17|0|1|1|0|
393|Customer#000000393|20|0|1|1|0|
394|Customer#000000394|23|0|1|1|0|
395|Customer#000000395|15|0|1|1|0|
396|Customer#000000396|22|0|1|1|0|
397|Customer#000000397|7|0|1|1|0|
398|Customer#000000398|15|0|1|1|0|
399|Customer#000000399|8|0|1|1|1|
400|Customer#000000400|14|0|1|1|0|
401|Customer#000000401|19|0|1|1|0|
402|Customer#000000402|6|1|1|1|0|
403|Customer#000000403|14|0|1|1|0|
404|Customer#000000404|22|0|1|1|0|
405|Customer#000000405|10|0|1|1|0|
406|Customer#000000406|9|0|1|1|1|
407|Customer#000000407|1|0|1|1|0|
408|Customer#000000408|10|0|1|1|0|
409|Customer#000000409|11|0|1|1|0|
410|Customer#000000410|7|0|1|1|0|
411|Customer#000000411|18|0|1|1|1|
412|Customer#000000412|22|0|1|1|0|
413|Customer#000000413|6|0|1|1|0|
414|Customer#000000414|19|1|1|1|0|
415|Customer#000000415|23|0|1|1|0|
416|Customer#000000416|12|0|1|1|1|
417|Customer#000000417|11|0|1|1|0|
418|Customer#000000418|5|0|1|1|0|
419|Customer#000000419|16|0|1|1|0|
420|Customer#000000420|20|0|1|1|0|
421|Customer#000000421|13|0|1|1|0|
422|Customer#000000422|9|0|1|1|1|
423|Customer#000000423|13|0|1|1|0|
424|Customer#000000424|19|0|1|1|0|
425|Customer#000000425|16|0|1|1|0|
426|Customer#000000426|19|0|1|1|0|
427|Customer#000000427|2|0|1|1|0|
428|Customer#000000428|21|0|1|1|1|
429|Customer#000000429|15|0|1|1|0|
430|Customer#000000430|3|0|1|1|0|
431|Customer#000000431|6|0|1|1|0|
432|Customer#000000432|23|0|1|1|0|
433|Customer#000000433|20|0|1|1|0|
434|Customer#000000434|3|0|1|1|0|
435|Customer#000000435|2|0|1|1|0|
436|Customer#000000436|19|0|1|1|0|
437|Customer#000000437|4|1|1|1|0|
438|Customer#000000438|23|0|1|1|0|
439|Customer#000000439|14|0|1|1|0|
440|Customer#000000440|3|0|1|1|0|
441|Customer#000000441|23|0|1|1|0|
442|Customer#000000442|1|0|1|1|0|
443|Customer#000000443|3|0|1|1|0|
444|Customer#000000444|1|0|1|1|0|
445|Customer#000000445|20|0|1|1|0|
446|Customer#000000446|24|0|1|1|0|
447|Customer#000000447|3|0|1|1|0|
448|Customer#000000448|24|0|1|1|0|
449|Customer#000000449|4|0|1|1|0|
450|Customer#000000450|9|0|1|1|1|
451|Customer#000000451|20|0|1|1|0|
452|Customer#000000452|6|0|1|1|0|
453|Customer#000000453|8|0|1|1|1|
454|Customer#000000454|7|1|1|1|0|
455|Customer#000000455|6|0|1|1|0|
456|Customer#000000456|0|0|1|1|0|
457|Customer#000000457|20|0|1|1|0|
458|Customer#000000458|4|0|1|1|0|
459|Customer#000000459|6|0|1|1|0|
460|Customer#000000460|11|0|1|1|0|
461|Customer#000000461|21|1|1|1|1|
462|Customer#000000462|21|0|1|1|1|
463|Customer#000000463|8|0|1|1|1|
464|Customer#000000464|9|1|1|1|1|
465|Customer#000000465|2|0|1|1|0|
466|Customer#000000466|12|0|1|1|1|
467|Customer#000000467|11|0|1|1|0|
468|Customer#000000468|10|0|1|1|0|
469|Customer#000000469|12|0|1|1|1|
470|Customer#000000470|20|0|1|1|0|
471|Customer#000000471|4|0|1|1|0|
472|Customer#000000472|12|0|1|1|1|
473|Customer#000000473|9|0|1|1|1|
474|Customer#000000474|21|0|1|1|1|
475|Customer#000000475|14|0|1|1|0|
476|Customer#000000476|2|0|1|1|0|
477|Customer#000000477|23|1|1|1|0|
478|Customer#000000478|1|0|1|1|0|
479|Customer#000000479|18|1|1|1|1|
480|Customer#000000480|7|0|1|1|0|
481|Customer#000000481|21|0|1|1|1|
482|Customer#000000482|13|0|1|1|0|
483|Customer#000000483|11|0|1|1|0|
484|Customer#000000484|20|0|1|1|0|
485|Customer#000000485|19|0|1|1|0|
486|Customer#000000486|21|1|1|1|1|
487|Customer#000000487|2|1|1|1|0|
488|Customer#000000488|3|1|1|1|0|
489|Customer#000000489|4|1|1|1|0|
490|Customer#000000490|22|0|1|1|0|
491|Customer#000000491|0|1|1|1|0|
492|Customer#000000492|8|1|1|1|1|
493|Customer#000000493|16|0|1|1|0|
494|Customer#000000494|10|0|1|1|0|
495|Customer#000000495|7|0|1|1|0|
496|Customer#000000496|12|0|1|1|1|
497|Customer#000000497|23|0|1|1|0|
498|Customer#000000498|19|0|1|1|0|
499|Customer#000000499|14|0|1|1|0|
500|Customer#000000500|4|1|1|1|0|
501|Customer#000000501|13|0|1|1|0|
502|Customer#000000502|11|0|1|1|0|
503|Customer#000000503|20|0|1|1|0|
504|Customer#000000504|10|0|1|1|0|
505|Customer#000000505|2|0|1|1|0|
506|Customer#000000506|13|0|1|1|0|
507|Customer#000000507|14|0|1|1|0|
508|Customer#000000508|18|0|1|1|1|
509|Customer#000000509|4|0|1|1|0|
510|Customer#000000510|5|0|1|1|0|
511|Customer#000000511|13|0|1|1|0|
512|Customer#000000512|2|0|1|1|0|
513|Customer#000000513|1|0|1|1|0|
514|Customer#000000514|23|0|1|1|0|
515|Customer#000000515|15|0|1|1|0|
516|Customer#000000516|6|0|1|1|0|
517|Customer#000000517|10|0|1|1|0|
518|Customer#000000518|17|0|1|1|0|
519|Customer#000000519|5|0|1|1|0|
520|Customer#000000520|3|0|1|1|0|
521|Customer#000000521|2|0|1|1|0|
522|Customer#000000522|12|0|1|1|1|
523|Customer#000000523|10|0|1|1|0|
524|Customer#000000524|9|0|1|1|1|
525|Customer#000000525|19|1|1|1|0|
526|Customer#000000526|1|0|1|1|0|
527|Customer#000000527|13|0|1|1|0|
528|Customer#000000528|15|1|1|1|0|
529|Customer#000000529|15|0|1|1|0|
530|Customer#000000530|13|0|1|1|0|
531|Customer#000000531|19|0|1|1|0|
532|Customer#000000532|15|0|1|1|0|
533|Customer#000000533|15|0|1|1|0|
534|Customer#000000534|1|1|1|1|0|
535|Customer#000000535|2|0|1|1|0|
536|Customer#000000536|12|0|1|1|1|
537|Customer#000000537|10|0|1|1|0|
538|Customer#000000538|19|0|1|1|0|
539|Customer#000000539|6|0|1|1|0|
540|Customer#000000540|16|0|1|1|0|
541|Customer#000000541|0|0|1|1|0|
542|Customer#000000542|16|0|1|1|0|
543|Customer#000000543|17|1|1|1|0|
544|Customer#000000544|5|1|1|1|0|
545|Customer#000000545|10|1|1|1|0|
546|Customer#000000546|19|0|1|1|0|
547|Customer#000000547|22|0|1|1|0|
548|Customer#000000548|4|0|1|1|0|
549|Customer#000000549|24|0|1|1|0|
550|Customer#000000550|17|0|1|1|0|
551|Customer#000000551|15|0|1|1|0|
552|Customer#000000552|2|0|1|1|0|
553|Customer#000000553|4|0|1|1|0|
554|Customer#000000554|2|0|1|1|0|
555|Customer#000000555|15|0|1|1|0|
556|Customer#000000556|1|0|1|1|0|
557|Customer#000000557|15|0|1|1|0|
558|Customer#000000558|17|0|1|1|0|
559|Customer#000000559|7|1|1|1|0|
560|Customer#000000560|19|0|1|1|0|
561|Customer#000000561|18|0|1|1|1|
562|Customer#000000562|15|0|1|1|0|
563|Customer#000000563|12|0|1|1|1|
564|Customer#000000564|4|0|1|1|0|
565|Customer#000000565|4|0|1|1|0|
566|Customer#000000566|24|0|1|1|0|
567|Customer#000000567|21|0|1|1|1|
568|Customer#000000568|13|0|1|1|0|
569|Customer#000000569|2|0|1|1|0|
570|Customer#000000570|15|1|1|1|0|
571|Customer#000000571|2|0|1|1|0|
572|Customer#000000572|11|1|1|1|0|
573|Customer#000000573|4|0|1|1|0|
574|Customer#000000574|8|0|1|1|1|
575|Customer#000000575|1|0|1|1|0|
576|Customer#000000576|1|0|1|1|0|
577|Customer#000000577|14|0|1|1|0|
578|Customer#000000578|14|0|1|1|0|
579|Customer#000000579|0|0|1|1|0|
580|Customer#000000580|11|0|1|1|0|
581|Customer#000000581|24|0|1|1|0|
582|Customer#000000582|3|0|1|1|0|
583|Customer#000000583|13|0|1|1|0|
584|Customer#000000584|15|0|1|1|0|
585|Customer#000000585|16|0|1|1|0|
586|Customer#000000586|11|1|1|1|0|
587|Customer#000000587|6|1|1|1|0|
588|Customer#000000588|17|0|1|1|0|
589|Customer#000000589|19|0|1|1|0|
590|Customer#000000590|8|0|1|1|1|
591|Customer#000000591|20|0|1|1|0|
592|Customer#000000592|24|0|1|1|0|
593|Customer#000000593|9|1|1|1|1|
594|Customer#000000594|9|0|1|1|1|
595|Customer#000000595|19|0|1|1|0|
596|Customer#000000596|5|0|1|1|0|
597|Customer#000000597|15|1|1|1|0|
598|Customer#000000598|9|0|1|1|1|
599|Customer#000000599|4|0|1|1|0|
600|Customer#000000600|12|0|1|1|1|
601|Customer#000000601|1|0|1|1|0|
602|Customer#000000602|13|0|1|1|0|
603|Customer#000000603|19|1|1|1|0|
604|Customer#000000604|21|0|1|1|1|
605|Customer#000000605|23|0|1|1|0|
606|Customer#000000606|1|1|1|1|0|
607|Customer#000000607|24|0|1|1|0|
608|Customer#000000608|16|0|1|1|0|
609|Customer#000000609|21|0|1|1|1|
610|Customer#000000610|11|0|1|1|0|
611|Customer#000000611|19|0|1|1|0|
612|Customer#000000612|14|0|1|1|0|
613|Customer#000000613|4|1|1|1|0|
614|Customer#000000614|18|0|1|1|1|
615|Customer#000000615|2|0|1|1|0|
616|Customer#000000616|1|0|1|1|0|
617|Customer#000000617|14|0|1|1|0|
618|Customer#000000618|0|0|1|1|0|
619|Customer#000000619|24|0|1|1|0|
620|Customer#000000620|8|1|1|1|1|
621|Customer#000000621|17|0|1|1|0|
622|Customer#000000622|13|0|1|1|0|
623|Customer#000000623|9|0|1|1|1|
624|Customer#000000624|4|0|1|1|0|
625|Customer#000000625|13|0|1|1|0|
626|Customer#000000626|5|0|1|1|0|
627|Customer#000000627|15|0|1|1|0|
628|Customer#000000628|17|0|1|1|0|
629|Customer#000000629|12|1|1|1|1|
630|Customer#000000630|24|0|1|1|0|
631|Customer#000000631|19|0|1|1|0|
632|Customer#000000632|3|0|1|1|0|
633|Customer#000000633|2|0|1|1|0|
634|Customer#000000634|20|0|1|1|0|
635|Customer#000000635|2|1|1|1|0|
636|Customer#000000636|7|0|1|1|0|
637|Customer#000000637|7|0|1|1|0|
638|Customer#000000638|24|0|1|1|0|
639|Customer#000000639|15|0|1|1|0|
640|Customer#000000640|2|0|1|1|0|
641|Customer#000000641|24|1|1|1|0|
642|Customer#000000642|22|1|1|1|0|
643|Customer#000000643|0|0|1|1|0|
644|Customer#000000644|18|0|1|1|1|
645|Customer#000000645|11|0|1|1|0|
646|Customer#000000646|2|0|1|1|0|
647|Customer#000000647|1|0|1|1|0|
648|Customer#000000648|7|0|1|1|0|
649|Customer#000000649|11|0|1|1|0|
650|Customer#000000650|5|1|1|1|0|
651|Customer#000000651|9|0|1|1|1|
652|Customer#000000652|20|1|1|1|0|
653|Customer#000000653|11|0|1|1|0|
654|Customer#000000654|16|1|1|1|0|
655|Customer#000000655|14|0|1|1|0|
656|Customer#000000656|5|1|1|1|0|
657|Customer#000000657|19|0|1|1|0|
658|Customer#000000658|1|0|1|1|0|
659|Customer#000000659|0|0|1|1|0|
660|Customer#000000660|0|0|1|1|0|
661|Customer#000000661|4|0|1|1|0|
662|Customer#000000662|0|0|1|1|0|
