22
l_orderkey|l_partkey|l_suppkey|l_linenumber|l_quantity|l_extendedprice|l_discount|l_tax|l_returnflag|l_linestatus|l_shipdate|l_commitdate|l_receiptdate|l_shipinstruct|l_shipmode|l_comment|q3_annot|q10_annot|q18_annot|q8_annot|q9_annot1|q9_annot2|
7|158|3|7|5.00|529.08|0.04|0.02|N|O|1996-02-10|1996-03-26|1996-02-13|NONE|FOB|ithely regula|508|0|0|508|508|5|
32|83|4|1|28.00|2752.62|0.05|0.08|N|O|1995-10-23|1995-08-27|1995-10-26|TAKE BACK RETURN|TRUCK|sleep quickly. req|2615|0|0|2615|2615|28|
32|198|10|2|32.00|3514.21|0.02|0.00|N|O|1995-08-14|1995-10-07|1995-08-27|COLLECT COD|AIR|lithely regular deposits. fluffily |3444|0|0|3444|3444|32|
32|45|2|3|2.00|189.01|0.09|0.02|N|O|1995-08-07|1995-10-07|1995-08-23|DELIVER IN PERSON|AIR| express accounts wake according to the|172|0|0|172|172|2|
32|3|8|4|4.00|361.20|0.09|0.03|N|O|1995-08-04|1995-10-01|1995-09-03|NONE|REG AIR|e slyly final pac|329|0|0|329|329|4|
32|86|7|5|44.00|4338.75|0.05|0.06|N|O|1995-08-28|1995-08-20|1995-09-14|DELIVER IN PERSON|AIR|symptotes nag according to the ironic depo|4122|0|0|4122|4122|44|
32|12|6|6|6.00|547.21|0.04|0.03|N|O|1995-07-21|1995-09-23|1995-07-25|COLLECT COD|RAIL| gifts cajole carefully.|525|0|0|525|525|6|
33|62|7|1|31.00|2982.39|0.09|0.04|A|F|1993-10-29|1993-12-19|1993-11-08|COLLECT COD|TRUCK|ng to the furiously ironic package|0|0|0|2714|2714|31|
33|61|8|2|32.00|3075.39|0.02|0.05|A|F|1993-12-09|1994-01-04|1993-12-28|COLLECT COD|MAIL|gular theodolites|0|0|0|3014|3014|32|
33|138|4|3|5.00|519.07|0.05|0.03|A|F|1993-12-09|1993-12-25|1993-12-23|TAKE BACK RETURN|AIR|. stealthily bold exc|0|0|0|493|493|5|
33|34|5|4|41.00|3829.52|0.09|0.00|R|F|1993-11-09|1994-01-24|1993-11-11|TAKE BACK RETURN|MAIL|unusual packages doubt caref|0|3485|0|3485|3485|41|
34|89|10|1|13.00|1285.80|0.00|0.07|N|O|1998-10-23|1998-09-14|1998-11-06|NONE|REG AIR|nic accounts. deposits are alon|1286|0|0|1286|1286|13|
34|90|1|2|22.00|2178.20|0.08|0.06|N|O|1998-10-09|1998-10-16|1998-10-12|NONE|FOB|thely slyly p|2004|0|0|2004|2004|22|
34|170|7|3|6.00|642.10|0.02|0.06|N|O|1998-10-30|1998-09-20|1998-11-05|NONE|FOB|ar foxes sleep |629|0|0|629|629|6|
35|1|4|1|24.00|2162.40|0.02|0.00|N|O|1996-02-21|1996-01-03|1996-03-18|TAKE BACK RETURN|FOB|, regular tithe|2119|0|0|2119|2119|24|
35|162|1|2|34.00|3611.34|0.06|0.08|N|O|1996-01-22|1996-01-06|1996-01-27|DELIVER IN PERSON|RAIL|s are carefully against the f|3395|0|0|3395|3395|34|
35|121|4|3|7.00|714.78|0.06|0.04|N|O|1996-01-19|1995-12-22|1996-01-29|NONE|MAIL| the carefully regular |672|0|0|672|672|7|
35|86|7|4|25.00|2465.20|0.06|0.05|N|O|1995-11-26|1995-12-25|1995-12-21|DELIVER IN PERSON|SHIP| quickly unti|2317|0|0|2317|2317|25|
35|120|7|5|34.00|3468.41|0.08|0.06|N|O|1995-11-08|1996-01-15|1995-11-26|COLLECT COD|MAIL|. silent, unusual deposits boost|3191|0|0|3191|3191|34|
35|31|7|6|28.00|2606.88|0.03|0.02|N|O|1996-02-01|1995-12-24|1996-02-28|COLLECT COD|RAIL|ly alongside of |2529|0|0|2529|2529|28|
36|120|1|1|42.00|4284.50|0.09|0.00|N|O|1996-02-03|1996-01-21|1996-02-23|COLLECT COD|SHIP| careful courts. special |3899|0|0|3899|3899|42|
37|23|8|1|40.00|3692.08|0.09|0.03|A|F|1992-07-21|1992-08-01|1992-08-15|NONE|REG AIR|luffily regular requests. slyly final acco|0|0|0|3360|3360|40|
37|127|6|2|39.00|4005.77|0.05|0.02|A|F|1992-07-02|1992-08-18|1992-07-28|TAKE BACK RETURN|RAIL|the final requests. ca|0|0|0|3805|3805|39|
37|13|7|3|43.00|3925.94|0.05|0.08|A|F|1992-07-10|1992-07-06|1992-08-02|DELIVER IN PERSON|TRUCK|iously ste|0|0|0|3730|3730|43|
38|176|5|1|44.00|4735.15|0.04|0.02|N|O|1996-09-29|1996-11-17|1996-09-30|COLLECT COD|MAIL|s. blithely unusual theodolites am|4546|0|0|4546|4546|44|
39|3|10|1|44.00|3973.20|0.09|0.06|N|O|1996-11-14|1996-12-15|1996-12-12|COLLECT COD|RAIL|eodolites. careful|3616|0|0|3616|3616|44|
39|187|8|2|26.00|2826.67|0.08|0.04|N|O|1996-11-04|1996-10-20|1996-11-20|NONE|FOB|ckages across the slyly silent|2601|0|0|2601|2601|26|
39|68|3|3|46.00|4453.08|0.06|0.08|N|O|1996-09-26|1996-12-19|1996-10-26|DELIVER IN PERSON|AIR|he carefully e|4186|0|0|4186|4186|46|
39|21|6|4|32.00|2947.26|0.07|0.05|N|O|1996-10-02|1996-12-19|1996-10-14|COLLECT COD|MAIL|heodolites sleep silently pending foxes. ac|2741|0|0|2741|2741|32|
39|55|10|5|43.00|4106.72|0.01|0.01|N|O|1996-10-17|1996-11-14|1996-10-26|COLLECT COD|MAIL|yly regular i|4066|0|0|4066|4066|43|
39|95|7|6|40.00|3980.36|0.06|0.05|N|O|1996-12-08|1996-10-22|1997-01-01|COLLECT COD|AIR|quickly ironic fox|3742|0|0|3742|3742|40|
64|86|7|1|21.00|2070.77|0.05|0.02|R|F|1994-09-30|1994-09-18|1994-10-26|DELIVER IN PERSON|REG AIR|ch slyly final, thin platelets.|0|1967|0|1967|1967|21|
65|60|5|1|26.00|2496.16|0.03|0.03|A|F|1995-04-20|1995-04-25|1995-05-13|NONE|TRUCK|pending deposits nag even packages. ca|2421|0|0|2421|2421|26|
65|74|3|2|22.00|2142.95|0.00|0.05|N|O|1995-07-17|1995-06-04|1995-07-19|COLLECT COD|FOB| ideas. special, r|2143|0|0|2143|2143|22|
65|2|5|3|21.00|1894.20|0.09|0.07|N|O|1995-07-06|1995-05-14|1995-07-31|DELIVER IN PERSON|RAIL|bove the even packages. accounts nag carefu|1724|0|0|1724|1724|21|
66|116|10|1|31.00|3149.94|0.00|0.08|R|F|1994-02-19|1994-03-11|1994-02-20|TAKE BACK RETURN|RAIL|ut the unusual accounts sleep at the bo|0|3150|0|3150|3150|31|
66|174|5|2|41.00|4404.10|0.04|0.07|A|F|1994-02-21|1994-03-01|1994-03-18|COLLECT COD|AIR| regular de|0|0|0|4228|4228|41|
67|22|5|1|4.00|368.81|0.09|0.04|N|O|1997-04-17|1997-01-31|1997-04-20|NONE|SHIP| cajole thinly expres|336|0|0|336|336|4|
67|21|10|2|12.00|1105.22|0.09|0.05|N|O|1997-01-27|1997-02-21|1997-02-22|NONE|REG AIR| even packages cajole|1006|0|0|1006|1006|12|
67|174|4|3|5.00|537.09|0.03|0.07|N|O|1997-02-20|1997-02-12|1997-02-21|DELIVER IN PERSON|TRUCK|y unusual packages thrash pinto |521|0|0|521|521|5|
67|88|9|4|44.00|4347.55|0.08|0.06|N|O|1997-03-18|1997-01-29|1997-04-13|DELIVER IN PERSON|RAIL|se quickly above the even, express reques|4000|0|0|4000|4000|44|
67|41|10|5|23.00|2164.39|0.05|0.07|N|O|1997-04-19|1997-02-14|1997-05-06|DELIVER IN PERSON|REG AIR|ly regular deposit|2056|0|0|2056|2056|23|
67|179|9|6|29.00|3129.59|0.02|0.05|N|O|1997-01-25|1997-01-27|1997-01-27|DELIVER IN PERSON|FOB|ultipliers |3067|0|0|3067|3067|29|
68|8|1|1|3.00|272.40|0.05|0.02|N|O|1998-07-04|1998-06-05|1998-07-21|NONE|RAIL|fully special instructions cajole. furious|259|0|0|259|259|3|
68|176|4|2|46.00|4950.38|0.02|0.05|N|O|1998-06-26|1998-06-07|1998-07-05|NONE|MAIL| requests are unusual, regular pinto |4851|0|0|4851|4851|46|
68|35|1|3|46.00|4301.14|0.04|0.05|N|O|1998-08-13|1998-07-08|1998-08-29|NONE|RAIL|egular dependencies affix ironically along |4129|0|0|4129|4129|46|
68|95|9|4|20.00|1990.18|0.07|0.01|N|O|1998-06-27|1998-05-23|1998-07-02|NONE|REG AIR| excuses integrate fluffily |1851|0|0|1851|1851|20|
68|83|4|5|27.00|2654.32|0.03|0.06|N|O|1998-06-19|1998-06-25|1998-06-29|DELIVER IN PERSON|SHIP|ccounts. deposits use. furiously|2575|0|0|2575|2575|27|
68|103|6|6|30.00|3009.30|0.05|0.06|N|O|1998-08-11|1998-07-11|1998-08-14|NONE|RAIL|oxes are slyly blithely fin|2859|0|0|2859|2859|30|
68|140|6|7|41.00|4264.57|0.09|0.08|N|O|1998-06-24|1998-06-27|1998-07-06|NONE|SHIP|eposits nag special ideas. furiousl|3881|0|0|3881|3881|41|
69|116|10|1|48.00|4877.33|0.01|0.07|A|F|1994-08-17|1994-08-11|1994-09-08|NONE|TRUCK|regular epitaphs. carefully even ideas hag|0|0|0|4829|4829|48|
69|105|10|2|32.00|3216.32|0.08|0.06|A|F|1994-08-24|1994-08-17|1994-08-31|NONE|REG AIR|s sleep carefully bold, |0|0|0|2959|2959|32|
69|138|4|3|17.00|1764.82|0.09|0.00|A|F|1994-07-02|1994-07-07|1994-07-03|TAKE BACK RETURN|AIR|final, pending instr|0|0|0|1606|1606|17|
69|38|9|4|3.00|281.41|0.09|0.04|R|F|1994-06-06|1994-07-27|1994-06-15|NONE|MAIL| blithely final d|0|256|0|256|256|3|
69|93|6|5|42.00|4170.98|0.07|0.04|R|F|1994-07-31|1994-07-26|1994-08-28|DELIVER IN PERSON|REG AIR|tect regular, speci|0|3879|0|3879|3879|42|
69|19|3|6|23.00|2113.72|0.05|0.00|A|F|1994-10-03|1994-08-06|1994-10-24|NONE|SHIP|nding accounts ca|0|0|0|2008|2008|23|
70|65|2|1|8.00|772.05|0.03|0.08|R|F|1994-01-12|1994-02-27|1994-01-14|TAKE BACK RETURN|FOB|ggle. carefully pending dependenc|0|749|0|749|749|8|
70|197|10|2|13.00|1426.35|0.06|0.06|A|F|1994-03-03|1994-02-13|1994-03-26|COLLECT COD|AIR|lyly special packag|0|0|0|1341|1341|13|
70|180|8|3|1.00|108.02|0.03|0.05|R|F|1994-01-26|1994-03-05|1994-01-28|TAKE BACK RETURN|RAIL|quickly. fluffily unusual theodolites c|0|105|0|105|105|1|
70|46|9|4|11.00|1040.64|0.01|0.05|A|F|1994-03-17|1994-03-17|1994-03-27|NONE|MAIL|alongside of the deposits. fur|0|0|0|1030|1030|11|
70|38|9|5|37.00|3470.71|0.09|0.04|R|F|1994-02-13|1994-03-16|1994-02-21|COLLECT COD|MAIL|n accounts are. q|0|3158|0|3158|3158|37|
70|56|8|6|19.00|1816.50|0.06|0.03|A|F|1994-01-26|1994-02-17|1994-02-06|TAKE BACK RETURN|SHIP| packages wake pending accounts.|0|0|0|1708|1708|19|
71|62|3|1|25.00|2405.15|0.09|0.07|N|O|1998-04-10|1998-04-22|1998-04-11|COLLECT COD|FOB|ckly. slyly|2189|0|0|2189|2189|25|
71|66|1|2|3.00|289.82|0.09|0.07|N|O|1998-05-23|1998-04-03|1998-06-02|COLLECT COD|SHIP|y. pinto beans haggle after the|264|0|0|264|264|3|
71|35|1|3|45.00|4207.64|0.00|0.07|N|O|1998-02-23|1998-03-20|1998-03-24|DELIVER IN PERSON|SHIP| ironic packages believe blithely a|4208|0|0|4208|4208|45|
71|97|9|4|33.00|3290.40|0.00|0.01|N|O|1998-04-12|1998-03-20|1998-04-15|NONE|FOB| serve quickly fluffily bold deposi|3290|0|0|3290|3290|33|
71|104|7|5|39.00|3915.99|0.08|0.06|N|O|1998-01-29|1998-04-07|1998-02-18|DELIVER IN PERSON|RAIL|l accounts sleep across the pack|3603|0|0|3603|3603|39|
71|196|9|6|34.00|3727.05|0.04|0.01|N|O|1998-03-05|1998-04-22|1998-03-30|DELIVER IN PERSON|TRUCK|s cajole. |3578|0|0|3578|3578|34|
96|124|7|1|23.00|2355.48|0.10|0.06|A|F|1994-07-19|1994-06-29|1994-07-25|DELIVER IN PERSON|TRUCK|ep-- carefully reg|0|0|0|2120|2120|23|
96|136|7|2|30.00|3108.39|0.01|0.06|R|F|1994-06-03|1994-05-29|1994-06-22|DELIVER IN PERSON|TRUCK|e quickly even ideas. furiou|0|3077|0|3077|3077|30|
97|120|4|1|13.00|1326.16|0.00|0.02|R|F|1993-04-01|1993-04-04|1993-04-08|NONE|TRUCK|ayers cajole against the furiously|0|1326|0|1326|1326|13|
97|50|7|2|37.00|3515.19|0.02|0.06|A|F|1993-04-13|1993-03-30|1993-04-14|DELIVER IN PERSON|SHIP|ic requests boost carefully quic|0|0|0|3445|3445|37|
97|78|6|3|19.00|1858.33|0.06|0.08|R|F|1993-05-14|1993-03-05|1993-05-25|TAKE BACK RETURN|RAIL|gifts. furiously ironic packages cajole. |0|1747|0|1747|1747|19|
98|41|2|1|28.00|2634.91|0.06|0.07|A|F|1994-12-24|1994-10-25|1995-01-16|COLLECT COD|REG AIR| pending, regular accounts s|0|0|0|2477|2477|28|
98|110|7|2|1.00|101.01|0.00|0.00|A|F|1994-12-01|1994-12-12|1994-12-15|DELIVER IN PERSON|TRUCK|. unusual instructions against|0|0|0|101|101|1|
98|45|6|3|14.00|1323.06|0.05|0.02|A|F|1994-12-30|1994-11-22|1995-01-27|COLLECT COD|AIR| cajole furiously. blithely ironic ideas |0|0|0|1257|1257|14|
98|168|9|4|10.00|1068.16|0.03|0.03|A|F|1994-10-23|1994-11-08|1994-11-09|COLLECT COD|RAIL| carefully. quickly ironic ideas|0|0|0|1036|1036|10|
99|88|9|1|10.00|988.08|0.02|0.01|A|F|1994-05-18|1994-06-03|1994-05-23|COLLECT COD|RAIL|kages. requ|0|0|0|968|968|10|
99|124|5|2|5.00|512.06|0.02|0.07|R|F|1994-05-06|1994-05-28|1994-05-20|TAKE BACK RETURN|RAIL|ests cajole fluffily waters. blithe|0|502|0|502|502|5|
99|135|1|3|42.00|4347.55|0.02|0.02|A|F|1994-04-19|1994-05-18|1994-04-20|NONE|RAIL|kages are fluffily furiously ir|0|0|0|4261|4261|42|
99|109|2|4|36.00|3632.76|0.09|0.02|A|F|1994-07-04|1994-04-17|1994-07-30|DELIVER IN PERSON|AIR|slyly. slyly e|0|0|0|3306|3306|36|
100|63|4|1|28.00|2696.57|0.04|0.05|N|O|1998-05-08|1998-05-13|1998-06-07|COLLECT COD|TRUCK|sts haggle. slowl|2589|0|0|2589|2589|28|
100|116|10|2|22.00|2235.44|0.00|0.07|N|O|1998-06-24|1998-04-12|1998-06-29|DELIVER IN PERSON|SHIP|nto beans alongside of the fi|2235|0|0|2235|2235|22|
100|47|4|3|46.00|4356.38|0.03|0.04|N|O|1998-05-02|1998-04-10|1998-05-22|TAKE BACK RETURN|SHIP|ular accounts. even|4226|0|0|4226|4226|46|
100|39|10|4|14.00|1314.64|0.06|0.03|N|O|1998-05-22|1998-05-01|1998-06-03|COLLECT COD|MAIL|y. furiously ironic ideas gr|1236|0|0|1236|1236|14|
100|54|6|5|37.00|3529.99|0.05|0.00|N|O|1998-03-06|1998-04-16|1998-03-31|TAKE BACK RETURN|TRUCK|nd the quickly s|3353|0|0|3353|3353|37|
101|119|9|1|49.00|4993.64|0.10|0.00|N|O|1996-06-21|1996-05-27|1996-06-29|DELIVER IN PERSON|REG AIR|ts-- final packages sleep furiousl|4494|0|0|4494|4494|49|
101|164|9|2|36.00|3830.98|0.00|0.01|N|O|1996-05-19|1996-05-01|1996-06-04|DELIVER IN PERSON|AIR|tes. blithely pending dolphins x-ray f|3831|0|0|3831|3831|36|
101|139|5|3|12.00|1246.96|0.06|0.02|N|O|1996-03-29|1996-04-20|1996-04-12|COLLECT COD|MAIL|. quickly regular|1172|0|0|1172|1172|12|
102|89|10|1|37.00|3659.60|0.06|0.00|N|O|1997-07-24|1997-08-02|1997-08-07|TAKE BACK RETURN|SHIP|ully across the ideas. final deposit|3440|0|0|3440|3440|37|
102|170|5|2|34.00|3638.58|0.03|0.08|N|O|1997-08-09|1997-07-28|1997-08-26|TAKE BACK RETURN|SHIP|eposits cajole across|3529|0|0|3529|3529|34|
102|183|4|3|25.00|2707.95|0.01|0.01|N|O|1997-07-31|1997-07-24|1997-08-17|NONE|RAIL|bits. ironic accoun|2681|0|0|2681|2681|25|
102|62|7|4|15.00|1443.09|0.07|0.07|N|O|1997-06-02|1997-07-13|1997-06-04|DELIVER IN PERSON|SHIP|final packages. carefully even excu|1342|0|0|1342|1342|15|
103|195|9|1|6.00|657.11|0.03|0.05|N|O|1996-10-11|1996-07-25|1996-10-28|NONE|FOB|cajole. carefully ex|637|0|0|637|637|6|
103|11|5|2|37.00|3370.74|0.02|0.07|N|O|1996-09-17|1996-07-27|1996-09-20|TAKE BACK RETURN|MAIL|ies. quickly ironic requests use blithely|3303|0|0|3303|3303|37|
103|29|10|3|23.00|2136.75|0.01|0.04|N|O|1996-09-11|1996-09-18|1996-09-26|NONE|FOB|ironic accou|2115|0|0|2115|2115|23|
103|30|9|4|32.00|2976.10|0.01|0.07|N|O|1996-07-30|1996-08-06|1996-08-04|NONE|RAIL|kages doze. special, regular deposit|2946|0|0|2946|2946|32|
128|107|10|1|38.00|3826.98|0.06|0.01|A|F|1992-09-01|1992-08-27|1992-10-01|TAKE BACK RETURN|FOB| cajole careful|0|0|0|3597|3597|38|
129|3|6|1|46.00|4153.80|0.08|0.02|R|F|1993-02-15|1993-01-24|1993-03-05|COLLECT COD|TRUCK|uietly bold theodolites. fluffil|0|3821|0|3821|3821|46|
129|186|7|2|36.00|3910.25|0.01|0.02|A|F|1992-11-25|1992-12-25|1992-12-09|TAKE BACK RETURN|REG AIR|packages are care|0|0|0|3871|3871|36|
129|40|6|3|33.00|3102.13|0.04|0.06|A|F|1993-01-08|1993-02-14|1993-01-29|COLLECT COD|SHIP|sts nag bravely. fluffily|0|0|0|2978|2978|33|
129|136|7|4|34.00|3522.84|0.00|0.01|R|F|1993-01-29|1993-02-14|1993-02-10|COLLECT COD|MAIL|quests. express ideas|0|3523|0|3523|3523|34|
129|32|8|5|24.00|2236.87|0.06|0.00|A|F|1992-12-07|1993-01-02|1992-12-11|TAKE BACK RETURN|FOB|uests. foxes cajole slyly after the ca|0|0|0|2103|2103|24|
129|78|6|6|22.00|2151.75|0.06|0.01|R|F|1993-02-15|1993-01-31|1993-02-24|COLLECT COD|SHIP|e. fluffily regular |0|2023|0|2023|2023|22|
129|169|6|7|1.00|106.92|0.05|0.04|R|F|1993-01-26|1993-01-08|1993-02-24|DELIVER IN PERSON|FOB|e carefully blithely bold dolp|0|102|0|102|102|1|
130|129|10|1|14.00|1440.77|0.08|0.05|A|F|1992-08-15|1992-07-25|1992-09-13|COLLECT COD|RAIL| requests. final instruction|0|0|0|1326|1326|14|
130|2|5|2|48.00|4329.60|0.03|0.02|R|F|1992-07-01|1992-07-12|1992-07-24|NONE|AIR|lithely alongside of the regu|0|4200|0|4200|4200|48|
130|12|3|3|18.00|1641.62|0.04|0.08|A|F|1992-07-04|1992-06-14|1992-07-29|DELIVER IN PERSON|MAIL| slyly ironic decoys abou|0|0|0|1576|1576|18|
130|116|6|4|13.00|1320.94|0.09|0.02|R|F|1992-06-26|1992-07-29|1992-07-05|NONE|FOB| pending dolphins sleep furious|0|1202|0|1202|1202|13|
130|70|7|5|31.00|3007.22|0.06|0.05|R|F|1992-09-01|1992-07-18|1992-09-02|TAKE BACK RETURN|RAIL|thily about the ruth|0|2827|0|2827|2827|31|
131|168|7|1|45.00|4806.72|0.10|0.02|R|F|1994-09-14|1994-09-02|1994-10-04|NONE|FOB|ironic, bold accounts. careful|0|4326|0|4326|4326|45|
131|45|8|2|50.00|4725.20|0.02|0.04|A|F|1994-09-17|1994-08-10|1994-09-21|NONE|SHIP|ending requests. final, ironic pearls slee|0|0|0|4631|4631|50|
131|190|1|3|4.00|436.08|0.04|0.03|A|F|1994-09-20|1994-08-30|1994-09-23|COLLECT COD|REG AIR| are carefully slyly i|0|0|0|419|419|4|
132|141|8|1|18.00|1874.05|0.00|0.08|R|F|1993-07-10|1993-08-05|1993-07-13|NONE|TRUCK|ges. platelets wake furio|0|1874|0|1874|1874|18|
132|120|1|2|43.00|4386.52|0.01|0.08|R|F|1993-09-01|1993-08-16|1993-09-22|NONE|TRUCK|y pending theodolites|0|4343|0|4343|4343|43|
132|115|6|3|32.00|3248.35|0.04|0.04|A|F|1993-07-12|1993-08-05|1993-08-05|COLLECT COD|TRUCK|d instructions hagg|0|0|0|3118|3118|32|
132|29|2|4|23.00|2136.75|0.10|0.00|A|F|1993-06-16|1993-08-27|1993-06-23|DELIVER IN PERSON|AIR|refully blithely bold acco|0|0|0|1923|1923|23|
133|104|7|1|27.00|2711.07|0.00|0.02|N|O|1997-12-21|1998-02-23|1997-12-27|TAKE BACK RETURN|MAIL|yly even gifts after the sl|2711|0|0|2711|2711|27|
133|177|5|2|12.00|1292.60|0.02|0.06|N|O|1997-12-02|1998-01-15|1997-12-29|DELIVER IN PERSON|REG AIR|ts cajole fluffily quickly i|1267|0|0|1267|1267|12|
133|118|8|3|29.00|2952.52|0.09|0.08|N|O|1998-02-28|1998-01-30|1998-03-09|DELIVER IN PERSON|RAIL| the carefully regular theodoli|2687|0|0|2687|2687|29|
133|90|1|4|11.00|1089.10|0.06|0.01|N|O|1998-03-21|1998-01-15|1998-04-04|DELIVER IN PERSON|REG AIR|e quickly across the dolphins|1024|0|0|1024|1024|11|
134|1|2|1|21.00|1892.10|0.00|0.03|A|F|1992-07-17|1992-07-08|1992-07-26|COLLECT COD|SHIP|s. quickly regular|0|0|0|1892|1892|21|
134|165|2|2|35.00|3728.06|0.06|0.07|A|F|1992-08-23|1992-06-01|1992-08-24|NONE|MAIL|ajole furiously. instructio|0|0|0|3504|3504|35|
134|189|10|3|26.00|2831.87|0.09|0.06|A|F|1992-06-20|1992-07-12|1992-07-16|NONE|RAIL| among the pending depos|0|0|0|2577|2577|26|
134|145|6|4|47.00|4912.16|0.05|0.00|A|F|1992-08-16|1992-07-06|1992-08-28|NONE|REG AIR|s! carefully unusual requests boost careful|0|0|0|4667|4667|47|
134|36|7|5|12.00|1123.24|0.05|0.02|A|F|1992-07-03|1992-06-01|1992-07-11|COLLECT COD|TRUCK|nts are quic|0|0|0|1067|1067|12|
134|134|10|6|12.00|1240.96|0.00|0.00|A|F|1992-08-08|1992-07-07|1992-08-20|TAKE BACK RETURN|FOB|lyly regular pac|0|0|0|1241|1241|12|
135|109|10|1|47.00|4742.77|0.06|0.08|N|O|1996-02-18|1996-01-01|1996-02-25|COLLECT COD|RAIL|ctions wake slyly abo|4458|0|0|4458|4458|47|
